model,training_seed,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,vision_all_zero_count,vision_all_zero_accuracy,vision_all_zero_macro_f1
B0-WCE,43,clean,none,0.0,clean,728,0.6373626373626373,0.6159943192590218,0.5962484039130856,0.6405954286453764,0.7435699842397083,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,text_r0.1_early,text,0.1,early,728,0.6318681318681318,0.6097961365357191,0.5968977440005312,0.6382715823743048,0.7403292755643953,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,text_r0.1_middle,text,0.1,middle,728,0.6346153846153846,0.6153044817132663,0.5974651146731288,0.6352664739757726,0.7419938960510872,15,0.4,0.39740259740259737
B0-WCE,43,text_r0.1_late,text,0.1,late,728,0.6304945054945055,0.6012946993186691,0.602868208774253,0.6376791149773583,0.7375376818765362,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,text_r0.2_early,text,0.2,early,728,0.6222527472527473,0.5990702800024834,0.6004722127690911,0.6343681819800107,0.7346071040292635,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,text_r0.2_middle,text,0.2,middle,728,0.6373626373626373,0.6200517498630705,0.5979360790339882,0.6356159204156169,0.7438915835652962,15,0.4666666666666667,0.4444444444444445
B0-WCE,43,text_r0.2_late,text,0.2,late,728,0.6263736263736264,0.5939463071085923,0.6076429605760335,0.6336926711896655,0.7339731105785947,15,0.6,0.6091686091686092
B0-WCE,43,text_r0.3_early,text,0.3,early,728,0.6236263736263736,0.6023001093375376,0.6057599874336149,0.6254288770918327,0.7344202309010563,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,text_r0.3_middle,text,0.3,middle,728,0.6263736263736264,0.6106876009693053,0.5976462352529659,0.6342811829876993,0.7386485282403218,15,0.5333333333333333,0.48981481481481476
B0-WCE,43,text_r0.3_late,text,0.3,late,728,0.6291208791208791,0.5961496263336755,0.6097829182949531,0.6311953406982361,0.7348094223552952,15,0.6,0.6091686091686092
B0-WCE,43,text_r0.4_early,text,0.4,early,728,0.614010989010989,0.5929776908590468,0.6086543974067483,0.620663521503685,0.7289695102635217,15,0.4666666666666667,0.47765567765567757
B0-WCE,43,text_r0.4_middle,text,0.4,middle,728,0.6167582417582418,0.6040769475834411,0.5937791382126346,0.6341559730858725,0.7347374965456284,15,0.4,0.3611111111111111
B0-WCE,43,text_r0.4_late,text,0.4,late,728,0.6208791208791209,0.5913812635005966,0.6128055126723516,0.6273214562047186,0.7309467150925045,15,0.4666666666666667,0.49728049728049734
B0-WCE,43,text_r0.5_early,text,0.5,early,728,0.6057692307692307,0.588362359365228,0.6216404412586528,0.6023884980933367,0.7229297747428379,15,0.4666666666666667,0.4984126984126984
