type,split,field,sample_id,index,detail
audio_boundary_value_review,train,audio,SI39azgVUR8$_$2,2092,"timestep=2, feature_dim=0, value=500.0; boundary-valued observation, not classified as invalid"
audio_boundary_value_review,train,audio,guRD0zQC6Q0$_$7,2662,"timestep=37, feature_dim=0, value=500.0; boundary-valued observation, not classified as invalid"
audio_boundary_value_review,train,audio,xiRUWSUrGSg$_$0,3306,"timestep=28, feature_dim=0, value=500.0; boundary-valued observation, not classified as invalid"
audio_boundary_value_review,train,audio,xiRUWSUrGSg$_$0,3306,"timestep=30, feature_dim=0, value=500.0; boundary-valued observation, not classified as invalid"
audio_boundary_value_review,train,audio,xiRUWSUrGSg$_$0,3306,"timestep=31, feature_dim=0, value=500.0; boundary-valued observation, not classified as invalid"
audio_boundary_value_review,train,audio,xiRUWSUrGSg$_$0,3306,"timestep=32, feature_dim=0, value=500.0; boundary-valued observation, not classified as invalid"
all_zero_modality_sample,train,vision,-NFrJFQijFE$_$0,3,entire modality sequence is zero
all_zero_modality_sample,train,vision,-WXXTNIJcVM$_$0,6,entire modality sequence is zero
all_zero_modality_sample,train,vision,122842$_$1,144,entire modality sequence is zero
all_zero_modality_sample,train,vision,140317$_$5,209,entire modality sequence is zero
all_zero_modality_sample,train,vision,15Wu4U2VPLw$_$6,219,entire modality sequence is zero
all_zero_modality_sample,train,vision,1ESU5ONMMxs$_$6,270,entire modality sequence is zero
all_zero_modality_sample,train,vision,1ESU5ONMMxs$_$8,271,entire modality sequence is zero
all_zero_modality_sample,train,vision,1JQ9UCBEmCU$_$0,280,entire modality sequence is zero
all_zero_modality_sample,train,vision,208416$_$0,330,entire modality sequence is zero
all_zero_modality_sample,train,vision,209354$_$1,335,entire modality sequence is zero
all_zero_modality_sample,train,vision,209775$_$0,339,entire modality sequence is zero
all_zero_modality_sample,train,vision,21137$_$1,352,entire modality sequence is zero
all_zero_modality_sample,train,vision,213619$_$0,359,entire modality sequence is zero
all_zero_modality_sample,train,vision,213619$_$3,360,entire modality sequence is zero
all_zero_modality_sample,train,vision,218708$_$1,385,entire modality sequence is zero
all_zero_modality_sample,train,vision,234053$_$17,468,entire modality sequence is zero
all_zero_modality_sample,train,vision,244261$_$24,531,entire modality sequence is zero
all_zero_modality_sample,train,vision,247382$_$1,552,entire modality sequence is zero
all_zero_modality_sample,train,vision,248837$_$6,560,entire modality sequence is zero
all_zero_modality_sample,train,vision,254298$_$0,585,entire modality sequence is zero
all_zero_modality_sample,train,vision,266396$_$55,696,entire modality sequence is zero
all_zero_modality_sample,train,vision,268836$_$6,747,entire modality sequence is zero
all_zero_modality_sample,train,vision,275620$_$12,819,entire modality sequence is zero
