source,split,class,count,proportion
pkl_classification_mapped_by_xlsx_annotation,train,Negative,967,0.2848306332842415
pkl_classification_mapped_by_xlsx_annotation,train,Neutral,758,0.2232695139911635
pkl_classification_mapped_by_xlsx_annotation,train,Positive,1670,0.49189985272459497
xlsx_annotation,train,Negative,967,0.2848306332842415
xlsx_annotation,train,Neutral,758,0.2232695139911635
xlsx_annotation,train,Positive,1670,0.49189985272459497
pkl_classification_mapped_by_xlsx_annotation,valid,Negative,206,0.28296703296703296
pkl_classification_mapped_by_xlsx_annotation,valid,Neutral,184,0.25274725274725274
pkl_classification_mapped_by_xlsx_annotation,valid,Positive,338,0.4642857142857143
xlsx_annotation,valid,Negative,206,0.28296703296703296
xlsx_annotation,valid,Neutral,184,0.25274725274725274
xlsx_annotation,valid,Positive,338,0.4642857142857143
pkl_classification_mapped_by_xlsx_annotation,test,Negative,207,0.28473177441540576
pkl_classification_mapped_by_xlsx_annotation,test,Neutral,158,0.2173314993122421
pkl_classification_mapped_by_xlsx_annotation,test,Positive,362,0.49793672627235214
xlsx_annotation,test,Negative,207,0.28473177441540576
xlsx_annotation,test,Neutral,158,0.2173314993122421
xlsx_annotation,test,Positive,362,0.49793672627235214
pkl_classification_mapped_by_xlsx_annotation,all,Negative,1380,0.2845360824742268
xlsx_annotation,all,Negative,1380,0.2845360824742268
pkl_classification_mapped_by_xlsx_annotation,all,Neutral,1100,0.2268041237113402
xlsx_annotation,all,Neutral,1100,0.2268041237113402
pkl_classification_mapped_by_xlsx_annotation,all,Positive,2370,0.488659793814433
xlsx_annotation,all,Positive,2370,0.488659793814433
