group,modalities,location,delta_macro_f1,delta_pearson,delta_mae,delta_accuracy
single,text,early,0.00723865248073,0.0023335914548,0.00198485598159,-0.00119047619048
single,text,middle,0.00135938015241,0.00478139708254,0.00330789789366,-0.00622710622711
single,text,late,0.0045176541975,0.00510828120596,-0.000572805059562,-0.0029304029304
single,audio,early,0.00966473202389,0.0063480742717,0.00213049268759,0.00137362637363
single,audio,middle,0.00926979457435,0.00638097764043,0.00212296204464,0.0010989010989
single,audio,late,0.010514672863,0.00639604334404,0.00223802851493,0.00201465201465
single,vision,early,0.00917839242423,0.0067575751101,0.00259723644533,0.00173992673993
single,vision,middle,0.00792463653398,0.00613076345825,0.00239564806612,-0.000457875457875
single,vision,late,0.00795714029369,0.00631089231095,0.00199908372219,-9.15750915751e-05
double,text+audio,early,0.00324066517863,0.000379148084754,0.000315466791651,-0.00457875457875
double,text+audio,middle,0.0022331767768,0.00541534534444,0.00439082416825,-0.00503663003663
double,text+audio,late,0.00455237210632,0.00656560113905,0.000287189056258,-0.00320512820513
double,text+vision,early,0.00446381306068,0.000858314003565,0.000661211588075,-0.003663003663
double,text+vision,middle,-0.00021277716379,0.00509634799782,0.00451895056784,-0.00686813186813
double,text+vision,late,0.00340723997188,0.00666798299805,-4.61032699398e-05,-0.003663003663
double,audio+vision,early,0.0107346171224,0.00686198808547,0.00268053334895,0.00320512820513
double,audio+vision,middle,0.0071691422658,0.00624891944978,0.00253080771281,-0.00137362637363
double,audio+vision,late,0.00958789154784,0.00650046017523,0.00234514127755,0.00137362637363
