variant,seed,total_parameters,trainable_parameters_stage2,checkpoint,checkpoint_sha256,selected_epoch,epochs_run,training_seconds,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,clean_selection_score,mean_missing_accuracy,mean_missing_macro_f1,mean_missing_mae,mean_missing_pearson,mean_missing_selection_score,robust_score
A0,42,163460,0,outputs/checkpoints/b0_weighted_ce_best_selection_score.pt,20231a1436f1908f9271f420d66d209bd9e4f5e0b4c7bb9757820fa0f7e6e80a,3,,0.0,0.6456043956043956,0.6039545367307048,0.6157719938667839,0.6367858108186316,0.741330793024988,0.6420940170940171,0.6015899164195033,0.6182728747877613,0.6320436370179885,0.7391650682228051,0.7402479306238966
A1,42,164340,880,outputs/final/q2/ltarp_component_ablation/checkpoints/a1_seed42_best_clean_score.pt,bc1824771ab2c556be52a2866cfd9cdd5783bb8821e170e74a0fd9a3ec8229f2,7,19,17.99191142618656,0.6442307692307693,0.6205379505286432,0.5985415459119274,0.6594701519680682,0.748686717856198,0.6374135124135124,0.6125249510172843,0.6016856021984864,0.6530405156335143,0.7440444468869515,0.7463655823715747
A2,42,263028,99568,outputs/final/q2/ltarp_component_ablation/checkpoints/a2_seed42_best_clean_score.pt,f6caec503e798f70844fa3d9b2b48dce0fe0f43860b554401b51406ccc4f5a7a,2,14,12.295796174556017,0.6195054945054945,0.6140768007776131,0.5937038107294139,0.6511105903675486,0.7400467388363282,0.6127136752136754,0.607947370500251,0.597214429589814,0.6445469512671129,0.7358496957706284,0.7379482173034784
A3,42,164340,880,outputs/final/q2/ltarp_component_ablation/checkpoints/a3_seed42_best_clean_score.pt,382b03b7746ccc851d008110d4f06ce560af183d1d00c4868ef80e99b9391cdd,1,13,11.373606991022825,0.6483516483516484,0.6136579884831052,0.6302436132567352,0.6409407931112978,0.7443598577952366,0.6440018315018314,0.6090057782199841,0.6332616725526021,0.6356081087403299,0.74131701299997,0.7428384353976033
A4,42,164343,883,outputs/checkpoints/b5_pooling_p2_best_clean_score.pt,4a4ab039f3e239961bf68e7afea6a187932f00b14481a8bc757df61ac05644a0,20,,0.0,0.646978021978022,0.6240416686587537,0.6061171168707066,0.6471128727667732,0.7483891518854279,0.6377950752950753,0.615059956600873,0.6088147147167831,0.6410492270668372,0.7429776315774758,0.7456833917314518
A5,42,164230,770,outputs/final/q2/ltarp_component_ablation/checkpoints/a5_seed42_best_clean_score.pt,1ab3c72481353141e90db8095936a4d5a3cbebf5450c88844544c186f81c0aa3,17,29,22.728279892355204,0.6483516483516484,0.6224950530670984,0.611659018015796,0.6466526286944305,0.7480574615241656,0.6384310134310134,0.6130018868346542,0.6142538958591116,0.6405775193470845,0.7423365026573394,0.7451969820907525
A6,42,163536,76,outputs/final/q2/ltarp_component_ablation/checkpoints/a6_seed42_best_clean_score.pt,e0fc97d3acd30f7c228300a7dda0277f3da4e043e1c65532a03931e1f4f9aa3b,22,34,27.438816368579865,0.6524725274725275,0.6145077972162293,0.6106424347630569,0.636638753694984,0.7458814906022682,0.6439509564509563,0.6063870333212745,0.6132202627390129,0.6319387007164287,0.7410259907518191,0.7434537406770436
A7,42,163497,37,outputs/final/q2/ltarp_component_ablation/checkpoints/a7_seed42_best_clean_score.pt,a03417d9636d773fa14c92f5343c2700f6b7a9c92db70174e48f69c3c77c2f04,28,40,34.339216105639935,0.6538461538461539,0.6233760013932428,0.6157216566952539,0.6365166305245559,0.7482150485964496,0.6445614570614571,0.6124122396731019,0.6176321517270913,0.6317315843655628,0.7424751992407063,0.745345123918578
A0,43,163460,0,outputs/checkpoints/b21_b0_seed_43_best_selection_score.pt,cf51892f79f135faf5e38ff338363552b52aa68b5616c99ea6489ca73f52a3de,3,,0.0,0.6373626373626373,0.6159943192590218,0.5962483981306982,0.6405954368877121,0.743569985510933,0.6312067562067561,0.609462676769822,0.5999901820054542,0.6360144119472954,0.7396695688206625,0.7416197771657977
A1,43,164340,880,outputs/final/q2/ltarp_component_ablation/checkpoints/a1_seed43_best_clean_score.pt,d3d4cb4a3b99cc01cb1f397f6919fdc7b122490d2d5d8f51bb3ec94170a17841,6,18,15.254085294902325,0.6373626373626373,0.6216984391328655,0.5876043490748238,0.6654039410064316,0.7484572472048954,0.6315883190883191,0.6146670831191801,0.5980034487800144,0.6565944985513978,0.7437213525049656,0.7460892998549304
