model,category,group,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd,pearson_mean,pearson_sd,selection_score_mean,selection_score_sd
TFN,by_location,early,0.5988756613756614,0.012977925329903578,0.5806849809159195,0.005297796778487272,0.633893365019858,0.011202642696062854,0.603515617828094,0.010098092271934303,0.7189173892589129,0.0035535872045301775
TFN,by_location,late,0.5398351648351649,0.030689043500787307,0.5198491478432464,0.025154204645973507,0.666735451536355,0.007696085617444896,0.5349066367124116,0.002803285298418835,0.6790037639446396,0.013120176068693978
TFN,by_location,middle,0.5912698412698412,0.01576902957218867,0.5741543629474507,0.00857261161740244,0.6347815372225782,0.011386415184270889,0.5967256046053098,0.009095988836464206,0.7144975209123793,0.005121162333367927
TFN,by_modality,audio,0.5876678876678877,0.015740619061092472,0.5777645929592904,0.008960409333640038,0.6333056151433659,0.01792741624146403,0.6072010628502598,0.013752860425989359,0.71587051904877,0.004582169875806753
TFN,by_modality,text,0.5507936507936507,0.027198624408418682,0.5279105538849626,0.02043007955714411,0.6628593046525186,0.0030398231266546426,0.5358635265222635,0.0025058977882628404,0.6840398542910813,0.011582088343474326
TFN,by_modality,vision,0.6090964590964592,0.010660667523960513,0.5851583124193529,0.0028655524474608517,0.6339844103150925,0.010282491985752217,0.6046650417812007,0.010289126271179498,0.722730806005141,0.001965986688776607
TFN,by_ratio,0.1,0.6026149776149776,0.009380344032556625,0.5804316953283057,0.0034801993758115557,0.6355199934223892,0.008740167146910484,0.6005421866535251,0.010143195465237365,0.7193494418415787,0.0013355425683750023
TFN,by_ratio,0.2,0.5922364672364673,0.017510258348211568,0.5736686440790559,0.007963467603207595,0.6397246739422083,0.009093682091688456,0.5912411607040413,0.0075027665902649325,0.713726228169294,0.005399365105024196
TFN,by_ratio,0.3,0.5810948310948311,0.019486074294176852,0.5633792752600515,0.010813525633797467,0.6432901571049345,0.009947143550773637,0.5817138796346064,0.006939336873997197,0.7070290049970075,0.006598576477037991
TFN,by_ratio,0.4,0.5722425722425722,0.021292348434787122,0.5545938286060241,0.015315318377116444,0.64664189839443,0.010963693695954195,0.5744260961152308,0.006427408663194737,0.7015689497934516,0.008022016810702954
TFN,by_ratio,0.5,0.5644078144078144,0.020843813194219928,0.5459823221659057,0.01782514375704416,0.6517388273209999,0.012115328290698653,0.5649593954821363,0.008018689545106502,0.6960616741069888,0.008249496685076348
TFN,double_stress,audio+vision,0.5888278388278388,0.017927446841073152,0.5790181162205846,0.010885603136927567,0.6295917588530588,0.018740945482952787,0.6058685444073262,0.014487272744445341,0.7164620668608108,0.0057198639564681065
TFN,double_stress,text+audio,0.5105311355311355,0.03387350135198104,0.49597504938490355,0.03515677151433989,0.664666434478183,0.008297486808126128,0.5346714659411879,0.0042050329889476825,0.665766044701734,0.016500209023871976
TFN,double_stress,text+vision,0.5427350427350427,0.03918604351934315,0.5189704883161821,0.03107342191832834,0.6674572787866205,0.003065850863644555,0.5316989887577583,0.005577347466425994,0.6790780364080835,0.017230271621475866
TFN,modality_location,audio/early,0.5891941391941392,0.01621654995281353,0.5790113306920034,0.009357335358607265,0.6338931307762916,0.01725421297306577,0.6063207246351964,0.013551124166084458,0.7164292442685898,0.004770046605826416
