model,seed,category,group,accuracy,macro_f1,mae,pearson,selection_score
TFN,42,by_ratio,0.1,0.5926434676434676,0.583971411388553,0.6278354260801555,0.5985944124978376,0.7178182119002285
TFN,42,by_ratio,0.2,0.5753968253968255,0.5689216499081826,0.632084778666676,0.5900296092854374,0.7084964542091535
TFN,42,by_ratio,0.3,0.5610500610500609,0.5536860441472172,0.6352530406467884,0.5831793489170992,0.7001125682203408
TFN,42,by_ratio,0.4,0.5508241758241756,0.5415195169153831,0.6381832270909178,0.576859215722764,0.6936023573547803
TFN,42,by_ratio,0.5,0.543956043956044,0.5315096309086712,0.6430269876254497,0.5686583529695796,0.6881559216863158
TFN,42,by_location,early,0.585699023199023,0.5769396501729486,0.6244423691077006,0.6027481742421306,0.714984758077105
TFN,42,by_location,middle,0.5746336996336995,0.5650191441402799,0.6268240145331714,0.5991177808385363,0.7086852662760965
TFN,42,by_location,late,0.5115995115995117,0.5032915176925521,0.6607144519563604,0.5374008337595263,0.6683680927114417
TFN,42,by_modality,text,0.5237179487179486,0.511430011979691,0.660368784220937,0.5382507343962096,0.6735529659647302
TFN,42,by_modality,audio,0.5734432234432235,0.5698138042962282,0.6219377268307018,0.6079012192319653,0.7108878373875792
TFN,42,by_modality,vision,0.5971611721611721,0.5865211356848852,0.6235235650143535,0.6042406100074558,0.7204705046701816
TFN,42,double_stress,text+audio,0.4835164835164836,0.47264659270407394,0.6600184351864233,0.5395032981034862,0.6539779131853075
TFN,42,double_stress,text+vision,0.5045787545787546,0.492538425155399,0.6640642470809812,0.5366696310442871,0.6636936551857001
TFN,42,double_stress,audio+vision,0.5718864468864469,0.5674920943711889,0.6186519509860257,0.607464985715233,0.7100005939043953
TFN,42,modality_rho,text/0.1,0.5805860805860806,0.5723674204470438,0.6397301341047095,0.5860889659101904,0.709844073742692
TFN,42,modality_rho,text/0.2,0.5421245421245421,0.5366058998554858,0.6542687823905545,0.5590976220882842,0.6873086139897694
TFN,42,modality_rho,text/0.3,0.5151098901098901,0.5052612513146272,0.6627990987353136,0.5377677512634137,0.6696971251500846
TFN,42,modality_rho,text/0.4,0.4977106227106227,0.4823725536465588,0.6687267100832497,0.5176452782669733,0.6568628409525317
TFN,42,modality_rho,text/0.5,0.48305860805860806,0.46054293463473894,0.6763191957908576,0.49065405445218696,0.6440521759885743
TFN,42,modality_location,text/early,0.5909340659340659,0.578028128842152,0.6273355629023901,0.5983340160615449,0.715893318914148
TFN,42,modality_location,text/middle,0.5678571428571428,0.5532151115576343,0.6353746158695155,0.5853875989557195,0.7019675711452628
TFN,42,modality_location,text/late,0.41236263736263734,0.40304679553928646,0.7183961738909053,0.43103058817136475,0.6027980078347804
TFN,42,modality_rho,audio/0.1,0.5961538461538461,0.5882224695288079,0.6209078910786167,0.6053536462599474,0.7208921225748812
TFN,42,modality_rho,audio/0.2,0.5865384615384616,0.5829311523986843,0.6192454294670005,0.6065580028182783,0.7173852609421129
TFN,42,modality_rho,audio/0.3,0.5705128205128205,0.5687272373385285,0.6197315864341723,0.6074406144366676,0.7099179418326635
TFN,42,modality_rho,audio/0.4,0.5595238095238095,0.5576044453714695,0.6221476809186486,0.6083181192298422,0.704399008589273
TFN,42,modality_rho,audio/0.5,0.5544871794871795,0.5515837168436513,0.6276560462550721,0.6118357134150899,0.7018448529989659
TFN,42,modality_location,audio/early,0.575,0.5715025914146269,0.6229328611231112,0.6062080616475067,0.7114461196794655
TFN,42,modality_location,audio/middle,0.5711538461538461,0.5679408440073495,0.6213000986551108,0.6101671141308592,0.7101570576960267
TFN,42,modality_location,audio/late,0.5741758241758241,0.5699979774667085,0.621580220713884,0.6073284819175292,0.7110603347872458
TFN,42,modality_rho,vision/0.1,0.6011904761904762,0.5913243441898076,0.6228682530571403,0.6043406253233752,0.722718439383112
TFN,42,modality_rho,vision/0.2,0.5975274725274725,0.5872278974703777,0.6227401241424729,0.6044332029497497,0.7207954876955782
TFN,42,modality_rho,vision/0.3,0.5975274725274725,0.5870696437884959,0.6232284367708797,0.6043296810512164,0.7207226376782742
TFN,42,modality_rho,vision/0.4,0.5952380952380952,0.5845815517281214,0.6236752902708552,0.6046142496714761,0.7195452225225364
TFN,42,modality_rho,vision/0.5,0.5943223443223443,0.5824022412476232,0.6251057208304195,0.6034852910414616,0.7185707360714071
TFN,42,modality_location,vision/early,0.5975274725274725,0.5872025767042289,0.623612655576953,0.6042932728455978,0.7207353107645853
TFN,42,modality_location,vision/middle,0.5947802197802198,0.583893444602598,0.6234931391663849,0.6042773020877068,0.7192241980580684
TFN,42,modality_location,vision/late,0.5991758241758242,0.5884673857478286,0.6234649002997226,0.604151255089063,0.721452005187891
TFN,43,by_ratio,0.1,0.6112637362637363,0.5803094402099965,0.6450280595044304,0.5915141216156647,0.7199563901743734
TFN,43,by_ratio,0.2,0.6103479853479854,0.5828624308228288,0.6497831353548146,0.584417897856568,0.7192805439683239
TFN,43,by_ratio,0.3,0.599969474969475,0.5750422893947269,0.6544149966469268,0.5741588509446276,0.7132555059321736
TFN,43,by_ratio,0.4,0.5934065934065935,0.571443877224685,0.6590284847652127,0.5671373432269774,0.7096452653626413
TFN,43,by_ratio,0.5,0.5856227106227107,0.5658931167288501,0.6655741493878329,0.5557588850318875,0.7046165612423833
TFN,43,by_location,early,0.6116452991452993,0.5867464437193021,0.6462679289696995,0.5938231429035998,0.7218979982053629
TFN,43,by_location,middle,0.6059981684981686,0.5820235633238335,0.647824449119555,0.5866725908050876,0.7183468214261551
TFN,43,by_location,late,0.5724969474969476,0.5487947883694491,0.6754063759459653,0.5318727409754149,0.6936650942574443
TFN,43,by_modality,text,0.5781135531135532,0.55076868906575,0.6662466446115147,0.5360860626384449,0.6964710415158183
TFN,43,by_modality,audio,0.6045787545787545,0.5874738912970702,0.6539719018928242,0.5931114975628079,0.7199032694187727
TFN,43,by_modality,vision,0.6176739926739927,0.587088112265832,0.6440787488911913,0.5945946990041825,0.7236782490733461
TFN,43,double_stress,text+audio,0.5485347985347985,0.5364114155496006,0.6742461466506778,0.5318403981953749,0.6846230138517434
TFN,43,double_stress,text+vision,0.5828754578754579,0.553200017404431,0.6700284050678623,0.5327599813634137,0.697696016279238
TFN,43,double_stress,audio+vision,0.6076007326007326,0.5891238763782138,0.651231495515126,0.5906491725186497,0.7208776531631043
TFN,43,modality_rho,text/0.1,0.6021062271062271,0.5642775608924703,0.649447639222042,0.5823373972451334,0.7123278033543976
TFN,43,modality_rho,text/0.2,0.603021978021978,0.5712120079770927,0.6608970419251302,0.5639509846046603,0.7115149928284698
TFN,43,modality_rho,text/0.3,0.5764652014652014,0.5501300477153283,0.6691019331947679,0.5351918514543387,0.6956685465104762
TFN,43,modality_rho,text/0.4,0.5608974358974359,0.5388812750280889,0.6729240655632955,0.5159131083834583,0.6863953135475095
