model,seed,modality,clean_accuracy,missing_accuracy,clean_macro_f1,missing_macro_f1,clean_mae,missing_mae,clean_pearson,missing_pearson
B0,42,text,0.6456043956043956,0.635164835164835,0.6039545367307048,0.595478072682381,0.6157719934932314,0.6212953079355397,0.6367858174032373,0.6247208960614365
B0,42,audio,0.6456043956043956,0.645970695970696,0.6039545367307048,0.6043872109425903,0.6157719934932314,0.6160829732378761,0.6367858174032373,0.6367229805806333
B0,42,vision,0.6456043956043956,0.6456043956043958,0.6039545367307048,0.6048396308584625,0.6157719934932314,0.6162828709299064,0.6367858174032373,0.6363771654116543
P2,42,text,0.646978021978022,0.625091575091575,0.6240416686587537,0.6033066513401214,0.6061171227400857,0.6134032248526183,0.6471128716588983,0.6309059371535038
P2,42,audio,0.646978021978022,0.6467948717948718,0.6240416686587537,0.6237993790995797,0.6061171227400857,0.6059210871980822,0.6471128716588983,0.647453187091089
P2,42,vision,0.646978021978022,0.6446886446886446,0.6240416686587537,0.6214594556715036,0.6061171227400857,0.605992552721293,0.6471128716588983,0.6469786324372931
B0,43,text,0.6373626373626373,0.6223443223443224,0.6159943192590218,0.6004537158708217,0.5962484052793665,0.6049588881692279,0.640595426264943,0.6290008171531015
B0,43,audio,0.6373626373626373,0.6371794871794871,0.6159943192590218,0.6158390266432024,0.5962484052793665,0.5965816244527341,0.640595426264943,0.6404383248744298
B0,43,vision,0.6373626373626373,0.6357142857142858,0.6159943192590218,0.6142551220793601,0.5962484052793665,0.5970759126238335,0.640595426264943,0.6402638818149785
P2,43,text,0.6401098901098901,0.6191391941391942,0.6270149857494879,0.6046956545418332,0.5984302302668956,0.6080641000401978,0.6501190689392804,0.6352396888874196
P2,43,audio,0.6401098901098901,0.6404761904761905,0.6270149857494879,0.6272769013069723,0.5984302302668956,0.5987647312478377,0.6501190689392804,0.6500200803378581
P2,43,vision,0.6401098901098901,0.6371794871794871,0.6270149857494879,0.6232171126258118,0.5984302302668956,0.5991439809988598,0.6501190689392804,0.6498409709047308
B0,44,text,0.6373626373626373,0.6228021978021978,0.6218423070928129,0.6091740095051047,0.6118226439825126,0.6211718448110253,0.6454045389125593,0.6309966866302539
B0,44,audio,0.6373626373626373,0.6369963369963368,0.6218423070928129,0.6216065402750932,0.6118226439825126,0.6121244499193769,0.6454045389125593,0.6453246064057835
B0,44,vision,0.6373626373626373,0.6350732600732601,0.6218423070928129,0.6199216821152095,0.6118226439825126,0.6106413928825994,0.6454045389125593,0.6449568064319646
P2,44,text,0.6373626373626373,0.6221611721611721,0.6218423070928129,0.608688005044599,0.6109515481863866,0.6203496510916876,0.6453798161056952,0.6310183449165641
P2,44,audio,0.6373626373626373,0.6364468864468864,0.6218423070928129,0.6211116568539483,0.6109515481863866,0.61124476459621,0.6453798161056952,0.6452991364806461
P2,44,vision,0.6373626373626373,0.6342490842490843,0.6218423070928129,0.6192699838364267,0.6109515481863866,0.609842136262783,0.6453798161056952,0.6448901101631775
