Model,Family,Params,Acc,Macro-F1,MAE,Pearson
TFN,standard fusion,4840670,0.6099 ± 0.0076,0.5872 ± 0.0083,0.6336 ± 0.0102,0.6056 ± 0.0098
LMF,standard fusion,323276,0.5925 ± 0.0114,0.5719 ± 0.0090,0.6682 ± 0.0196,0.5807 ± 0.0188
MFN,standard fusion,261764,0.5966 ± 0.0080,0.5824 ± 0.0062,0.6418 ± 0.0124,0.5908 ± 0.0125
MulT,standard fusion,624094,0.6172 ± 0.0148,0.5891 ± 0.0236,0.6221 ± 0.0260,0.6369 ± 0.0115
MISA,standard fusion,1118852,0.6131 ± 0.0083,0.6010 ± 0.0060,0.9175 ± 0.1005,0.6269 ± 0.0087
Self-MM,standard fusion,82119,0.6355 ± 0.0052,0.6107 ± 0.0084,0.6099 ± 0.0066,0.6423 ± 0.0042
MMIM,standard fusion,163204,0.6360 ± 0.0048,0.6110 ± 0.0007,0.6102 ± 0.0098,0.6375 ± 0.0054
MAG-BERT,standard fusion,477188,0.6364 ± 0.0097,0.6172 ± 0.0072,0.6012 ± 0.0110,0.6672 ± 0.0035
TFR-Net,missing-aware,415620,0.6374 ± 0.0071,0.6230 ± 0.0080,0.6145 ± 0.0118,0.6267 ± 0.0142
MissModal,missing-aware,163204,0.6305 ± 0.0071,0.6108 ± 0.0069,0.6084 ± 0.0113,0.6431 ± 0.0006
M3S,missing-aware,323276,0.6035 ± 0.0063,0.5775 ± 0.0169,0.6706 ± 0.0173,0.5793 ± 0.0171
MMIN,missing-aware,292164,0.6383 ± 0.0062,0.6117 ± 0.0079,0.6279 ± 0.0247,0.6401 ± 0.0027
B0,project baseline,163460,0.6401 ± 0.0048,0.6139 ± 0.0091,0.6079 ± 0.0103,0.6409 ± 0.0043
P2,project model,164343,0.6415 ± 0.0050,0.6243 ± 0.0026,0.6052 ± 0.0063,0.6475 ± 0.0024
