Model,Training regime,Params,Acc,Macro-F1,MAE,Pearson
TFN,standard clean training,4840670,0.5767 ± 0.0197,0.5582 ± 0.0127,0.6451 ± 0.0101,0.5784 ± 0.0070
LMF,standard clean training,323276,0.5616 ± 0.0054,0.5392 ± 0.0066,0.6630 ± 0.0123,0.5539 ± 0.0185
MFN,standard clean training,261764,0.5657 ± 0.0070,0.5532 ± 0.0081,0.6559 ± 0.0097,0.5540 ± 0.0092
MulT,standard clean training,624094,0.6000 ± 0.0209,0.5749 ± 0.0230,0.6309 ± 0.0189,0.6232 ± 0.0057
MISA,standard clean training,1118852,0.6079 ± 0.0095,0.5958 ± 0.0080,0.9247 ± 0.1025,0.6198 ± 0.0077
Self-MM,standard clean training,82119,0.6302 ± 0.0016,0.6053 ± 0.0042,0.6131 ± 0.0068,0.6371 ± 0.0040
MMIM,standard clean training,163204,0.6302 ± 0.0041,0.6059 ± 0.0004,0.6135 ± 0.0101,0.6332 ± 0.0051
MAG-BERT,standard clean training,477188,0.6159 ± 0.0065,0.5950 ± 0.0081,0.6150 ± 0.0055,0.6474 ± 0.0008
TFR-Net,missing-aware training,415620,0.6336 ± 0.0099,0.6154 ± 0.0098,0.6232 ± 0.0146,0.6220 ± 0.0143
MissModal,missing-aware training,163204,0.6260 ± 0.0096,0.6068 ± 0.0048,0.6111 ± 0.0112,0.6381 ± 0.0013
M3S,missing-aware training,323276,0.5733 ± 0.0056,0.5493 ± 0.0102,0.6620 ± 0.0071,0.5581 ± 0.0192
MMIN,missing-aware training,292164,0.6341 ± 0.0049,0.6072 ± 0.0039,0.6318 ± 0.0259,0.6346 ± 0.0037
B0,standard clean training,163460,0.6349 ± 0.0062,0.6092 ± 0.0075,0.6111 ± 0.0098,0.6359 ± 0.0038
P2,standard clean training,164343,0.6334 ± 0.0038,0.6163 ± 0.0013,0.6086 ± 0.0059,0.6417 ± 0.0024
