model,seed,family,training_regime,parameters,training_seconds,training_time_basis,checkpoint,source_metrics,accuracy,macro_f1,mae,pearson,selection_score
TFN,42,standard fusion,standard clean training,4840670,20.435777086764574,full_model_training,experiments/q2/public_baselines/TFN/checkpoint_seed42.pt,experiments\q2\public_baselines\TFN\metrics_seed42.json,0.603021978021978,0.5932944158849326,0.6229022284253285,0.6044723547283191,0.7236838833000455
TFN,43,standard fusion,standard clean training,4840670,17.91663933172822,full_model_training,experiments/q2/public_baselines/TFN/checkpoint_seed43.pt,experiments\q2\public_baselines\TFN\metrics_seed43.json,0.6181318681318682,0.5906461982589555,0.6431315104057501,0.5964715598040107,0.724956315306301
TFN,44,standard fusion,standard clean training,4840670,17.86808279156685,full_model_training,experiments/q2/public_baselines/TFN/checkpoint_seed44.pt,experiments\q2\public_baselines\TFN\metrics_seed44.json,0.6085164835164835,0.5777249292565682,0.6347184120523897,0.6159798250452218,0.7221112308217327
LMF,42,standard fusion,standard clean training,323276,25.012163072824478,full_model_training,experiments/q2/public_baselines/LMF/checkpoint_seed42.pt,experiments\q2\public_baselines\LMF\metrics_seed42.json,0.5961538461538461,0.582213082753265,0.677240322338888,0.5768680474181974,0.7134818913899322
LMF,43,standard fusion,standard clean training,323276,46.17555631324649,full_model_training,experiments/q2/public_baselines/LMF/checkpoint_seed43.pt,experiments\q2\public_baselines\LMF\metrics_seed43.json,0.5796703296703297,0.5653733235076114,0.6456946551871414,0.6010651967725509,0.7094901189249232
LMF,44,standard fusion,standard clean training,323276,29.557517474517226,full_model_training,experiments/q2/public_baselines/LMF/checkpoint_seed44.pt,experiments\q2\public_baselines\LMF\metrics_seed44.json,0.6016483516483516,0.5681503622317616,0.6815401811234572,0.5641123521123997,0.7095662149372677
MFN,42,standard fusion,standard clean training,261764,104.915333006531,full_model_training,experiments/q2/public_baselines/MFN/checkpoint_seed42.pt,experiments\q2\public_baselines\MFN\metrics_seed42.json,0.5906593406593407,0.5778195641982103,0.635634594550868,0.5808731967579819,0.7132441010361826
MFN,43,standard fusion,standard clean training,261764,91.78219852596521,full_model_training,experiments/q2/public_baselines/MFN/checkpoint_seed43.pt,experiments\q2\public_baselines\MFN\metrics_seed43.json,0.6057692307692307,0.579908853471136,0.6561221369071403,0.5868287640033351,0.7174346941893777
MFN,44,standard fusion,standard clean training,261764,99.87995000742376,full_model_training,experiments/q2/public_baselines/MFN/checkpoint_seed44.pt,experiments\q2\public_baselines\MFN\metrics_seed44.json,0.5934065934065934,0.5893715742773981,0.6337504932851337,0.6048417253307611,0.7198934870337957
MulT,42,standard fusion,standard clean training,624094,48.23874907940626,full_model_training,experiments/q2/public_baselines/MulT/checkpoint_seed42.pt,experiments\q2\public_baselines\MulT\metrics_seed42.json,0.6277472527472527,0.5639489809864086,0.6521316114301373,0.6444849349555628,0.726312524826605
