model,family,training_regime,parameters,n_seeds,accuracy_mean,accuracy_sample_sd,macro_f1_mean,macro_f1_sample_sd,mae_mean,mae_sample_sd,pearson_mean,pearson_sample_sd,selection_score_mean,selection_score_sample_sd
TFN,standard fusion,standard clean training,4840670,3,0.6098901098901098,0.007648027970920393,0.5872218478001521,0.008330477808399413,0.6335840502944894,0.010162236211050824,0.6056412465258505,0.009806519984485488,0.7235838098093598,0.0014251797987399292
LMF,standard fusion,standard clean training,323276,3,0.5924908424908425,0.011437725271791897,0.5719122561642127,0.009028192362380916,0.6681583862164955,0.01957259832549536,0.5806818654343827,0.01876931240122423,0.7108460750840411,0.002283000952600571
MFN,standard fusion,standard clean training,261764,3,0.5966117216117216,0.008048716039948207,0.5823666639822481,0.0061557175535280765,0.6418357415810473,0.012408193984417854,0.590847895364026,0.012479489298721337,0.7168574274197853,0.003362069486011553
MulT,standard fusion,standard clean training,624094,3,0.6172161172161172,0.014815649896852974,0.5891185369964647,0.023604862048320647,0.6220846408756361,0.026035437375741047,0.6369427725807251,0.011510688527654087,0.7302813167559179,0.005246071960214526
MISA,standard fusion,standard clean training,1118852,3,0.6130952380952381,0.008279826611733144,0.601020332088842,0.006018241965075563,0.9175274395072601,0.10053338536292597,0.6268757456178526,0.008729214962554103,0.7186580507687824,0.0013779534078611827
Self-MM,standard fusion,standard clean training,82119,3,0.6355311355311355,0.0052004655181321635,0.6106698517975538,0.008425994928546909,0.6099036999260871,0.00658782512660271,0.642275459847036,0.004157896836660948,0.7414220251494649,0.002720254177912183
MMIM,standard fusion,standard clean training,163204,3,0.635989010989011,0.0047583813394749845,0.6110487915854795,0.0006594449941331109,0.6102175462714673,0.009771956678865166,0.6374850394569179,0.005448090701384397,0.7410193494810928,0.001072230026694121
MAG-BERT,standard fusion,standard clean training,477188,3,0.6364468864468864,0.009745328138183525,0.6172248353079475,0.007219950698593973,0.6012347118806217,0.010961538709227224,0.6672160878840765,0.0035387647929971127,0.7467684950958587,0.004137831923977024
TFR-Net,missing-aware,missing-aware training,415620,3,0.6373626373626374,0.007137572009212445,0.6229665277703311,0.008042960683918772,0.614504544150115,0.011789023849131103,0.6267134369392507,0.014176734932395267,0.7428171148943936,0.005840549671377778
MissModal,missing-aware,missing-aware training,163204,3,0.6304945054945055,0.007137572009212381,0.6107601977299164,0.006909073289955185,0.6083712137113206,0.011253357912474997,0.6430557676128607,0.0005572292218660093,0.740346846186408,0.0005810577326661467
M3S,missing-aware,missing-aware training,323276,3,0.6034798534798534,0.006344508452633227,0.5775001816121131,0.01694736750609641,0.6706295829968213,0.01727565624623756,0.5792665071889422,0.017051546835438483,0.7147104228800752,0.005868932614897765
MMIN,missing-aware,missing-aware training,292164,3,0.6382783882783882,0.006194024385745765,0.6116687906022688,0.007881364495444295,0.6278791080362031,0.024740966410942568,0.6400882770314457,0.0027320482912543877,0.7413361998475865,0.0018666045579583482
B0,project baseline,standard clean training,163460,3,0.6401098901098901,0.0047583813394749845,0.6139303876941798,0.009120742418254203,0.6079476810735907,0.01032250723884167,0.6409285943036162,0.004319007857755449,0.7432949903609033,0.0018421583988084353
P2,project model,standard clean training,164343,3,0.6414835164835164,0.0049526803234395895,0.6242996538336848,0.0025959715684437967,0.6051662996984445,0.006314578529454924,0.647537252427712,0.002397958931277445,0.7471726866453291,0.0018716894257164358
