model,seed,family,training_regime,parameters,training_seconds,training_time_basis,checkpoint,source_metrics,accuracy,macro_f1,mae,pearson,selection_score
TFN,42,standard fusion,standard clean training,4840670,20.435777086764574,full_model_training,experiments/q2/public_baselines/TFN/checkpoint_seed42.pt,experiments\q2\public_baselines\TFN\metrics_seed42.json,0.5573107448107449,0.5484167706685935,0.6373269451990773,0.5797555962800645,0.6973460390215477
TFN,43,standard fusion,standard clean training,4840670,17.91663933172822,full_model_training,experiments/q2/public_baselines/TFN/checkpoint_seed43.pt,experiments\q2\public_baselines\TFN\metrics_seed43.json,0.5967134717134718,0.5725215984708615,0.6564995846784066,0.5707894915613675,0.7113033046296541
TFN,44,standard fusion,standard clean training,4840670,17.86808279156685,full_model_training,experiments/q2/public_baselines/TFN/checkpoint_seed44.pt,experiments\q2\public_baselines\TFN\metrics_seed44.json,0.5759564509564511,0.5537501225671614,0.6415838239013075,0.5846027713043837,0.7037693304647298
LMF,42,standard fusion,standard clean training,323276,25.012163072824478,full_model_training,experiments/q2/public_baselines/LMF/checkpoint_seed42.pt,experiments\q2\public_baselines\LMF\metrics_seed42.json,0.5574124949124949,0.5427476158291543,0.6650216748425444,0.5524252996385892,0.6913839536884633
LMF,43,standard fusion,standard clean training,323276,46.17555631324649,full_model_training,experiments/q2/public_baselines/LMF/checkpoint_seed43.pt,experiments\q2\public_baselines\LMF\metrics_seed43.json,0.5595746845746847,0.5433160868739959,0.6498499201025244,0.5731127663070418,0.6952847086462783
LMF,44,standard fusion,standard clean training,323276,29.557517474517226,full_model_training,experiments/q2/public_baselines/LMF/checkpoint_seed44.pt,experiments\q2\public_baselines\LMF\metrics_seed44.json,0.5677401302401304,0.5315963672279532,0.6741517327771279,0.5361459993715517,0.6887627187560844
MFN,42,standard fusion,standard clean training,261764,104.915333006531,full_model_training,experiments/q2/public_baselines/MFN/checkpoint_seed42.pt,experiments\q2\public_baselines\MFN\metrics_seed42.json,0.5589641839641841,0.5471563832870054,0.6514619615753724,0.5451747614423018,0.6925327385941111
MFN,43,standard fusion,standard clean training,261764,91.78219852596521,full_model_training,experiments/q2/public_baselines/MFN/checkpoint_seed43.pt,experiments\q2\public_baselines\MFN\metrics_seed43.json,0.5729293854293854,0.5499719792163107,0.6670182594398547,0.5534191991938892,0.6971103135839996
MFN,44,standard fusion,standard clean training,261764,99.87995000742376,full_model_training,experiments/q2/public_baselines/MFN/checkpoint_seed44.pt,experiments\q2\public_baselines\MFN\metrics_seed44.json,0.5652981277981279,0.5623627878033539,0.6491775059515624,0.5635195102011458,0.7003061049275318
MulT,42,standard fusion,standard clean training,624094,48.23874907940626,full_model_training,experiments/q2/public_baselines/MulT/checkpoint_seed42.pt,experiments\q2\public_baselines\MulT\metrics_seed42.json,0.6148758648758649,0.5531079345444384,0.6518238435151973,0.6261444610719734,0.7181046806759395
