model,family,training_regime,parameters,n_seeds,accuracy_mean,accuracy_sample_sd,macro_f1_mean,macro_f1_sample_sd,mae_mean,mae_sample_sd,pearson_mean,pearson_sample_sd,selection_score_mean,selection_score_sample_sd
TFN,standard fusion,standard clean training,4840670,3,0.576660222493556,0.019710788736756513,0.5582294972355388,0.012661330060819978,0.6451367845929304,0.010068027284838275,0.5783826197152718,0.007008243203564457,0.7041395580386438,0.006985994357009753
LMF,standard fusion,standard clean training,323276,3,0.5615757699091033,0.005446858704967018,0.5392200233103678,0.006608395333165878,0.6630077759073989,0.012275437528194875,0.5538946884390609,0.018527136637940683,0.6918104603636087,0.0032818468870295615
MFN,standard fusion,standard clean training,261764,3,0.5657305657305658,0.006992636478108492,0.55316371676889,0.008090060323144358,0.6558859089889298,0.009708326544567016,0.5540378236124456,0.009188007068167851,0.6966497190352141,0.003907098225303203
MulT,standard fusion,standard clean training,624094,3,0.6000373083706417,0.020860699264952515,0.5749180638226454,0.022977226030609477,0.6308997044808817,0.01893886458683866,0.6231853534142356,0.00568324076965514,0.7203495245383978,0.007240380862642315
MISA,standard fusion,standard clean training,1118852,3,0.6078720662053995,0.00952554098428995,0.5957527868495358,0.00803583608365584,0.9247291067939492,0.10253053302043294,0.6197552784489125,0.0077074669061506325,0.7148452436201,0.0024439757216584423
Self-MM,standard fusion,standard clean training,82119,3,0.6301977343644011,0.0016292597694080647,0.605335175162553,0.004193738972016111,0.6131286841770512,0.006825133193170821,0.637074612661651,0.0039782062290676865,0.7379705254570678,0.000671318020100264
MMIM,standard fusion,standard clean training,163204,3,0.6301553384886719,0.004053781815564913,0.6059431387191861,0.0003551232883443329,0.6134826666608859,0.010148510244674344,0.6331505533159929,0.0050660439900963574,0.7376066606889268,0.0007917642958706906
MAG-BERT,standard fusion,standard clean training,477188,3,0.615935761769095,0.006522448061788511,0.5950021363610264,0.008052468793735973,0.6149710175916293,0.005460783398450484,0.6474439416813079,0.0007621689606218307,0.7330411748430427,0.003225993283287446
TFR-Net,missing-aware,missing-aware training,415620,3,0.633623321123321,0.009877624012626415,0.615387216609672,0.009767340356553002,0.6231697228795423,0.014585360413332532,0.6219515934980627,0.014307898490763029,0.7390311785005251,0.007190618902103958
MissModal,missing-aware,missing-aware training,163204,3,0.6260090218423552,0.009571216135032312,0.6067919112224053,0.004849756517682553,0.6111126626990058,0.011187755326115618,0.6381395798776625,0.0013201719453647723,0.7375046531384393,0.001840290333168647
M3S,missing-aware,missing-aware training,323276,3,0.5733024691358025,0.005554494004279632,0.5492745039033798,0.01016600360428366,0.661990273172515,0.007140861681542799,0.5580676550488517,0.019176714159892066,0.6978197720920472,0.004265097925943631
MMIN,missing-aware,missing-aware training,292164,3,0.6340727174060508,0.004944726060761285,0.6072175741281002,0.003911467139265657,0.6318066249287375,0.025916647682233233,0.634608328891681,0.003714641269996299,0.7383233379563005,0.001133608426647608
B0,project baseline,standard clean training,163460,3,0.6348867182200515,0.006242170408063446,0.6092439311021578,0.007547019801043477,0.6111421151250752,0.00978220689900166,0.635919992867766,0.003830021863480653,0.7400584066421448,0.001138689385915372
P2,project model,standard clean training,164343,3,0.6333859042192376,0.0038374708356663434,0.6162974693419195,0.0012556616350256182,0.6085648576843915,0.0058992628177134306,0.6416659026647094,0.0023564428574480625,0.7422722121531949,0.0009998368858301783
