model,parameters,training_seconds_mean,training_seconds_sample_sd,training_time_basis
TFN,4840670,18.740166403353214,1.4686426136647965,full_model_training
LMF,323276,33.58174562019607,11.140830870655039,full_model_training
MFN,261764,98.85916051330666,6.6258066463360805,full_model_training
MulT,624094,44.51747654750943,3.225026121467005,full_model_training
MISA,1118852,34.769976399838924,5.362983151944979,full_model_training
Self-MM,82119,17.32134368394812,1.20871186520591,full_model_training
MMIM,163204,40.1927963613222,17.474633030543103,full_model_training
MAG-BERT,477188,35.17522055966159,5.922243799441086,full_model_training
TFR-Net,415620,34.0809813713034,7.59920301336698,full_model_training
MissModal,163204,21.07390393440922,1.7121875265180517,full_model_training
M3S,323276,35.33955357720455,1.8347497895599727,full_model_training
MMIN,292164,26.19940465626617,2.7301688937756623,full_model_training
B0,163460,13.258972541739544,0.49321017267318135,full_model_training
P2,164343,110.78134434049328,37.14631259774236,residual_training_only_excludes_B0
