model,seed,accuracy,macro_f1,mae,pearson,selection_score
TFN,42,0.603021978022,0.593294415885,0.622902228425,0.604472354728,0.7236838833
TFN,43,0.618131868132,0.590646198259,0.643131510406,0.596471559804,0.724956315306
TFN,44,0.608516483516,0.577724929257,0.634718412052,0.615979825045,0.722111230822
MulT,42,0.627747252747,0.563948980986,0.65213161143,0.644484934956,0.726312524827
MulT,43,0.623626373626,0.610761990402,0.60791477713,0.623693675229,0.73622901803
MulT,44,0.600274725275,0.592644639601,0.606207534067,0.642649707558,0.728302407411
MISA,42,0.620879120879,0.606459910305,1.02879341927,0.63615432558,0.718487656024
MISA,43,0.614010989011,0.602045870466,0.890562775059,0.62564675757,0.720113277271
MISA,44,0.604395604396,0.594555215496,0.833226124193,0.618826153703,0.717373219011
本文模型（P2）,42,0.648351648352,0.623434796653,0.608260347308,0.646170369764,
本文模型（P2）,43,0.64010989011,0.627014985749,0.598430227058,0.650119076608,
本文模型（P2）,44,0.637362637363,0.621842307093,0.610951544175,0.645379819174,
