model,seed,scenario_id,modality,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,vision_all_zero_count,vision_all_zero_accuracy,vision_all_zero_macro_f1
B5-P2,42,text_r0.1_early,text,0.1,early,728,0.638736263736,0.611852707632,0.609023274137,0.645603233479,0.742971677271,15,0.466666666667,0.49728049728
B5-P2,42,text_r0.1_middle,text,0.1,middle,728,0.644230769231,0.619631830474,0.606528815286,0.640826703827,0.745796953934,15,0.466666666667,0.49728049728
B5-P2,42,text_r0.1_late,text,0.1,late,728,0.653846153846,0.626509259463,0.614382968131,0.646544709806,0.750307651714,15,0.466666666667,0.49728049728
B5-P2,42,text_r0.2_early,text,0.2,early,728,0.631868131868,0.605129121263,0.6135346086,0.638157019332,0.738454998674,15,0.466666666667,0.49728049728
B5-P2,42,text_r0.2_middle,text,0.2,middle,728,0.631868131868,0.609990926505,0.604587494345,0.638720791752,0.740113717965,15,0.333333333333,0.318518518519
B5-P2,42,text_r0.2_late,text,0.2,late,728,0.64010989011,0.610530653684,0.62092009765,0.642519964914,0.742103460827,15,0.6,0.634199134199
B5-P2,42,text_r0.3_early,text,0.3,early,728,0.625,0.600217339347,0.62032551957,0.620703054571,0.733045320009,15,0.466666666667,0.49728049728
B5-P2,42,text_r0.3_middle,text,0.3,middle,728,0.630494505495,0.613180872925,0.600770191883,0.63563422505,0.740341031408,15,0.333333333333,0.318518518519
B5-P2,42,text_r0.3_late,text,0.3,late,728,0.627747252747,0.596090288274,0.620854049445,0.640526640269,0.735156296562,15,0.466666666667,0.492424242424
B5-P2,42,text_r0.4_early,text,0.4,early,728,0.619505494505,0.597888552161,0.619797846185,0.613812359745,0.730250146377,15,0.466666666667,0.49728049728
B5-P2,42,text_r0.4_middle,text,0.4,middle,728,0.622252747253,0.606611348962,0.599791829582,0.631602576234,0.73617501985,15,0.4,0.361111111111
B5-P2,42,text_r0.4_late,text,0.4,late,728,0.629120879121,0.601044555038,0.623500112009,0.63106321481,0.735445089057,15,0.466666666667,0.492424242424
B5-P2,42,text_r0.5_early,text,0.5,early,728,0.612637362637,0.594005159326,0.629122721333,0.592859139625,0.724554576222,15,0.333333333333,0.358333333333
B5-P2,42,text_r0.5_middle,text,0.5,middle,728,0.618131868132,0.602862625699,0.606627042697,0.621077685714,0.732607207393,15,0.4,0.374074074074
B5-P2,42,text_r0.5_late,text,0.5,late,728,0.604395604396,0.577022138784,0.624618493742,0.620603141551,0.721904057916,15,0.4,0.427777777778
B5-P2,42,audio_r0.1_early,audio,0.1,early,728,0.648351648352,0.623434796653,0.607944037796,0.646405801233,0.748416334831,15,0.466666666667,0.49728049728
B5-P2,42,audio_r0.1_middle,audio,0.1,middle,728,0.648351648352,0.623434796653,0.608591630676,0.646168920157,0.748359741659,15,0.466666666667,0.49728049728
B5-P2,42,audio_r0.1_late,audio,0.1,late,728,0.648351648352,0.623434796653,0.608348816459,0.646296748656,0.748385837481,15,0.466666666667,0.49728049728
B5-P2,42,audio_r0.2_early,audio,0.2,early,728,0.648351648352,0.623434796653,0.607662183227,0.646538758455,0.748444698424,15,0.466666666667,0.49728049728
B5-P2,42,audio_r0.2_middle,audio,0.2,middle,728,0.646978021978,0.622274702028,0.608510330519,0.646217375666,0.747735755855,15,0.466666666667,0.49728049728
B5-P2,42,audio_r0.2_late,audio,0.2,late,728,0.648351648352,0.623434796653,0.608243432382,0.646235399341,0.74838255982,15,0.466666666667,0.49728049728
B5-P2,42,audio_r0.3_early,audio,0.3,early,728,0.646978021978,0.622274702028,0.607503293241,0.646539118179,0.747817933555,15,0.466666666667,0.49728049728
B5-P2,42,audio_r0.3_middle,audio,0.3,middle,728,0.646978021978,0.622274702028,0.608526422872,0.646216384099,0.747734961394,15,0.466666666667,0.49728049728
B5-P2,42,audio_r0.3_late,audio,0.3,late,728,0.648351648352,0.623434796653,0.608241456162,0.646259510999,0.748385656119,15,0.466666666667,0.49728049728
B5-P2,42,audio_r0.4_early,audio,0.4,early,728,0.646978021978,0.622274702028,0.607672907243,0.646477956803,0.747803221133,15,0.466666666667,0.49728049728
B5-P2,42,audio_r0.4_middle,audio,0.4,middle,728,0.646978021978,0.622274702028,0.608757343215,0.64617890186,0.747720654433,15,0.466666666667,0.49728049728
