model,seed,accuracy,macro_f1,mae,pearson,selection_score,robust_score
TFN,42,0.557310744811,0.548416770669,0.637326945199,0.57975559628,0.697346039022,0.710514961161
TFN,43,0.596713471713,0.572521598471,0.656499584678,0.570789491561,0.71130330463,0.718129809968
TFN,44,0.575956450956,0.553750122567,0.641583823901,0.584602771304,0.703769330465,0.712940280643
MulT,42,0.614875864876,0.553107934544,0.651823843515,0.626144461072,0.718104680676,0.722208602751
MulT,43,0.609050671551,0.598907149698,0.614931647669,0.616633128982,0.728446444449,0.73233773124
MulT,44,0.576185388685,0.572739107225,0.625943622259,0.626778470189,0.71449744849,0.721399927951
MISA,42,0.616631054131,0.602570659941,1.04043473833,0.627089495889,0.714835168074,0.716661412049
MISA,43,0.609254171754,0.597794732476,0.888594148302,0.620454173281,0.717294241538,0.718703759405
MISA,44,0.597730972731,0.586892968132,0.84515843375,0.611722166177,0.712406321248,0.71488977013
本文模型（P2）,42,0.639677452177,0.615193865136,0.610507544678,0.640329941236,0.743321257621,0.745847491978
本文模型（P2）,43,0.631562881563,0.617570525188,0.602544632675,0.644269370925,0.742710996692,0.745411253719
本文模型（P2）,44,0.6307997558,0.616261926237,0.614335217936,0.639679117542,0.741128009455,0.743072704312
