model,seed,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score
TFN,42,text_r0.1_early,text,0.1,early,728,0.600274725275,0.589664663858,0.622425532772,0.605798517817,0.722275264812
TFN,42,text_r0.1_middle,text,0.1,middle,728,0.582417582418,0.569582086535,0.630413564127,0.593129621245,0.710873888055
TFN,42,text_r0.1_late,text,0.1,late,728,0.559065934066,0.557855510948,0.666351305416,0.559338758669,0.696383068361
TFN,42,text_r0.2_early,text,0.2,early,728,0.598901098901,0.587936255081,0.623836236136,0.603908751019,0.721204755867
TFN,42,text_r0.2_middle,text,0.2,middle,728,0.568681318681,0.555156311141,0.633386566201,0.586670209054,0.702902076662
TFN,42,text_r0.2_late,text,0.2,late,728,0.458791208791,0.466725133345,0.705583544834,0.486713906192,0.63781900944
TFN,42,text_r0.3_early,text,0.3,early,728,0.600274725275,0.588397882338,0.626449136575,0.599131417166,0.720957531692
TFN,42,text_r0.3_middle,text,0.3,middle,728,0.563186813187,0.547420612381,0.635562094517,0.584920811849,0.699285203935
TFN,42,text_r0.3_late,text,0.3,late,728,0.381868131868,0.379965259225,0.726386065114,0.429251024775,0.588848639824
TFN,42,text_r0.4_early,text,0.4,early,728,0.583791208791,0.568706460377,0.627872019694,0.596944706331,0.71158117143
TFN,42,text_r0.4_middle,text,0.4,middle,728,0.563186813187,0.548173316402,0.637220405835,0.583193881026,0.699188417282
TFN,42,text_r0.4_late,text,0.4,late,728,0.346153846154,0.330237884161,0.74108770472,0.372797247444,0.559818934146
TFN,42,text_r0.5_early,text,0.5,early,728,0.571428571429,0.555435382556,0.636094889335,0.585886687974,0.703447870771
TFN,42,text_r0.5_middle,text,0.5,middle,728,0.561813186813,0.54574323133,0.640290448667,0.579023471606,0.697588269792
TFN,42,text_r0.5_late,text,0.5,late,728,0.315934065934,0.280450190018,0.75257224937,0.307052003776,0.531120387403
TFN,42,audio_r0.1_early,audio,0.1,early,728,0.597527472527,0.589287872493,0.621721909714,0.604156801096,0.721318356821
TFN,42,audio_r0.1_middle,audio,0.1,middle,728,0.592032967033,0.585360085241,0.619029256254,0.607277712277,0.719465091426
TFN,42,audio_r0.1_late,audio,0.1,late,728,0.598901098901,0.590019450853,0.621972507268,0.604626425407,0.721892919478
TFN,42,audio_r0.2_early,audio,0.2,early,728,0.587912087912,0.584343676082,0.619525417936,0.605553047056,0.7179445128
TFN,42,audio_r0.2_middle,audio,0.2,middle,728,0.582417582418,0.57907085954,0.617269437023,0.609086679418,0.715788385541
TFN,42,audio_r0.2_late,audio,0.2,late,728,0.589285714286,0.585378921574,0.620941433442,0.605034281981,0.718422884486
TFN,42,audio_r0.3_early,audio,0.3,early,728,0.570054945055,0.568914160274,0.620739317233,0.60535584673,0.709547618955
TFN,42,audio_r0.3_middle,audio,0.3,middle,728,0.568681318681,0.567165941718,0.618102579137,0.610078455127,0.70946734786
TFN,42,audio_r0.3_late,audio,0.3,late,728,0.572802197802,0.570101610024,0.620352862932,0.606887541453,0.710738858683
TFN,42,audio_r0.4_early,audio,0.4,early,728,0.56043956044,0.558745346461,0.623669795477,0.606152839612,0.704579090199
TFN,42,audio_r0.4_middle,audio,0.4,middle,728,0.56043956044,0.559230090911,0.622264615316,0.610871112142,0.705348609551
TFN,42,audio_r0.4_late,audio,0.4,late,728,0.557692307692,0.554837898742,0.620508631963,0.607930405935,0.703269326019
TFN,42,audio_r0.5_early,audio,0.5,early,728,0.559065934066,0.556221901763,0.629007865255,0.609821773743,0.703841019623
TFN,42,audio_r0.5_middle,audio,0.5,middle,728,0.552197802198,0.548877242627,0.629834605545,0.61352161169,0.700715854103
TFN,42,audio_r0.5_late,audio,0.5,late,728,0.552197802198,0.549652006141,0.624125667965,0.612163754812,0.700977685271
TFN,42,vision_r0.1_early,vision,0.1,early,728,0.603021978022,0.593271372554,0.623027869029,0.604376618851,0.723660920457
TFN,42,vision_r0.1_middle,vision,0.1,middle,728,0.600274725275,0.590513938658,0.62271480185,0.604189788387,0.722274439454
TFN,42,vision_r0.1_late,vision,0.1,late,728,0.600274725275,0.590187721358,0.622862088292,0.604455468732,0.722219958238
TFN,42,vision_r0.2_early,vision,0.2,early,728,0.598901098901,0.5886785512,0.622942348968,0.604543996567,0.721506980889
TFN,42,vision_r0.2_middle,vision,0.2,middle,728,0.593406593407,0.583565658406,0.622739888948,0.60413271479,0.718812156929
TFN,42,vision_r0.2_late,vision,0.2,late,728,0.600274725275,0.589439482805,0.622538134512,0.604622897492,0.722067325268
TFN,42,vision_r0.3_early,vision,0.3,early,728,0.598901098901,0.588540381689,0.623253026169,0.604651463122,0.721472926948
TFN,42,vision_r0.3_middle,vision,0.3,middle,728,0.592032967033,0.581488054987,0.623002984715,0.604279678092,0.71795675757
TFN,42,vision_r0.3_late,vision,0.3,late,728,0.601648351648,0.591180494689,0.623429299429,0.604057901939,0.722738228517
TFN,42,vision_r0.4_early,vision,0.4,early,728,0.59478021978,0.584618076669,0.623681203608,0.604611153184,0.719439251443
TFN,42,vision_r0.4_middle,vision,0.4,middle,728,0.59478021978,0.58354027736,0.623415377134,0.60504619063,0.7192352574
TFN,42,vision_r0.4_late,vision,0.4,late,728,0.596153846154,0.585586301155,0.62392929007,0.6041854052,0.719961158724
TFN,42,vision_r0.5_early,vision,0.5,early,728,0.592032967033,0.580904501409,0.625158830111,0.603283132503,0.717596474085
TFN,42,vision_r0.5_middle,vision,0.5,middle,728,0.593406593407,0.580359293602,0.625592643185,0.60373813854,0.717842378937
TFN,42,vision_r0.5_late,vision,0.5,late,728,0.597527472527,0.585942928732,0.624565689195,0.603434602082,0.720273355192
TFN,42,text+audio_r0.3_early,text+audio,0.3,early,728,0.563186813187,0.557228864355,0.623564094203,0.600617410485,0.704199258438
TFN,42,text+audio_r0.3_middle,text+audio,0.3,middle,728,0.549450549451,0.540847774233,0.627469165471,0.592112555736,0.695444101827
TFN,42,text+audio_r0.3_late,text+audio,0.3,late,728,0.337912087912,0.319863139524,0.729022045886,0.425779928089,0.562290379292
TFN,42,text+vision_r0.3_early,text+vision,0.3,early,728,0.589285714286,0.574547354781,0.627555745004,0.598586617326,0.714633438391
TFN,42,text+vision_r0.3_middle,text+vision,0.3,middle,728,0.556318681319,0.540459916742,0.637653389928,0.582986966996,0.695499129143
TFN,42,text+vision_r0.3_late,text+vision,0.3,late,728,0.368131868132,0.362608003943,0.726983606311,0.428435308811,0.580948398024
TFN,42,audio+vision_r0.3_early,audio+vision,0.3,early,728,0.572802197802,0.569470999172,0.61943740672,0.606086355774,0.710519201769
TFN,42,audio+vision_r0.3_middle,audio+vision,0.3,middle,728,0.568681318681,0.563789902712,0.616870437744,0.60986045649,0.708647427504
TFN,42,audio+vision_r0.3_late,audio+vision,0.3,late,728,0.574175824176,0.569215381229,0.619648008495,0.606448144881,0.710835152441
