model,training_seed,modalities,rho,accuracy,macro_f1,mae,pearson,selection_score,scenario_count_averaged
B0-WCE,42,audio,0.1,0.6456043956043956,0.6039545367307048,0.6160405980006898,0.6367252963630272,0.7413120368791247,3
B0-WCE,42,audio,0.2,0.6460622710622711,0.604439301220052,0.6159905691788065,0.6367315039711515,0.741550557351191,3
B0-WCE,42,audio,0.3,0.6460622710622711,0.6045058397251977,0.615963942333783,0.6367458806630119,0.741570098515836,3
B0-WCE,42,audio,0.4,0.6460622710622711,0.6045181885184986,0.6160545592066652,0.6367517546816727,0.7415701442634571,3
B0-WCE,42,audio,0.5,0.6460622710622711,0.6045181885184986,0.6163651618761976,0.6366604948116223,0.7415457950018036,3
B0-WCE,42,text,0.1,0.6428571428571429,0.6000454662374403,0.6178953790638063,0.6339599930463533,0.7392250106101147,3
B0-WCE,42,text,0.2,0.6405677655677656,0.5985535249778322,0.620060265582778,0.6312500792675938,0.7378507381455662,3
B0-WCE,42,text,0.3,0.6414835164835165,0.6035929359543407,0.6216203701058095,0.6260562445263658,0.7386252949208513,3
B0-WCE,42,text,0.4,0.6309523809523809,0.5931278402912321,0.6205971253022633,0.6224890658816231,0.7329729749918451,3
B0-WCE,42,text,0.5,0.61996336996337,0.5820705959510594,0.6263033867909167,0.6098490944020043,0.7256436538292363,3
B0-WCE,42,vision,0.1,0.6451465201465202,0.6031782134004501,0.6155410057510293,0.6369224933867177,0.7410489531537894,3
B0-WCE,42,vision,0.2,0.6460622710622711,0.6048960166858484,0.6158145477418744,0.6368340775249334,0.7416848921384017,3
B0-WCE,42,vision,0.3,0.6442307692307693,0.6029630082250006,0.6163622874565313,0.6363307181970589,0.7406580221612193,3
B0-WCE,42,vision,0.4,0.6460622710622711,0.6055078017261707,0.6166958981637088,0.6360616237923289,0.7417045587476637,3
B0-WCE,42,vision,0.5,0.6465201465201466,0.6076531142548425,0.617000597106095,0.6357369215248843,0.7423020721716038,3
B0-WCE,43,audio,0.1,0.6373626373626373,0.6159943192590218,0.5965150138977301,0.6404750682643199,0.743543830442716,3
