model,training_seed,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,vision_all_zero_count,vision_all_zero_accuracy,vision_all_zero_macro_f1
B0-WCE,42,clean,none,0.0,clean,728,0.6456043956043956,0.6039545367307048,0.6157719938667839,0.6367858108186316,0.741330793024988,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,text_r0.1_early,text,0.1,early,728,0.6442307692307693,0.6016366696460307,0.6175916045545958,0.6346523224084554,0.7400654164971487,15,0.6,0.6091686091686092
B0-WCE,42,text_r0.1_middle,text,0.1,middle,728,0.6428571428571429,0.6030350340309217,0.6149714485803558,0.6318818306054845,0.7398344626901869,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,text_r0.1_late,text,0.1,late,728,0.6414835164835165,0.5954646950353683,0.6211230840564674,0.6353458261251201,0.7377751526430084,15,0.6,0.6091686091686092
B0-WCE,42,text_r0.2_early,text,0.2,early,728,0.6318681318681318,0.5886467065048017,0.6216263346895985,0.6310079584003058,0.7331036071145383,15,0.6,0.6091686091686092
B0-WCE,42,text_r0.2_middle,text,0.2,middle,728,0.6456043956043956,0.608485603496438,0.6136998383809331,0.6302136520227677,0.7417283796788489,15,0.4666666666666667,0.45384615384615384
B0-WCE,42,text_r0.2_late,text,0.2,late,728,0.6442307692307693,0.5985282649322571,0.6248546236778026,0.6325286273797079,0.7387202276433116,15,0.6666666666666666,0.6908424908424907
B0-WCE,42,text_r0.3_early,text,0.3,early,728,0.6318681318681318,0.5927703416873005,0.625166602796046,0.6217500059632024,0.7328297606844232,15,0.6,0.6091686091686092
B0-WCE,42,text_r0.3_middle,text,0.3,middle,728,0.6510989010989011,0.6198561237069641,0.6125063177269812,0.6270105367444644,0.7455939767225668,15,0.4666666666666667,0.4444444444444445
B0-WCE,42,text_r0.3_late,text,0.3,late,728,0.6414835164835165,0.5981523424687577,0.6271881897944015,0.6294081908714306,0.737452147355564,15,0.6666666666666666,0.6908424908424907
B0-WCE,42,text_r0.4_early,text,0.4,early,728,0.6236263736263736,0.5833144144972101,0.6259155992858603,0.6150425068823373,0.7275356937542772,15,0.6666666666666666,0.6865800865800865
B0-WCE,42,text_r0.4_middle,text,0.4,middle,728,0.6318681318681318,0.5992073559023687,0.6090004152649051,0.6261031417071606,0.7356567473533158,15,0.4,0.37407407407407406
B0-WCE,42,text_r0.4_late,text,0.4,late,728,0.6373626373626373,0.5968617504741175,0.6268753613560245,0.6263215490553715,0.7357264838679425,15,0.6,0.6243386243386243
B0-WCE,42,text_r0.5_early,text,0.5,early,728,0.6126373626373627,0.5725002718234259,0.6364538752688811,0.5954680689132262,0.7191990057598137,15,0.5333333333333333,0.5256410256410257
B0-WCE,42,text_r0.5_middle,text,0.5,middle,728,0.6304945054945055,0.597219683702539,0.6145146440837409,0.6156092508685589,0.7332749268210084,15,0.4,0.37407407407407406
B0-WCE,42,text_r0.5_late,text,0.5,late,728,0.6167582417582418,0.5764918323272131,0.6279416410201281,0.6184699634242277,0.7244570289068869,15,0.4,0.42777777777777776
B0-WCE,42,audio_r0.1_early,audio,0.1,early,728,0.6456043956043956,0.6039545367307048,0.6157253428495356,0.6368110329028662,0.7413358895779028,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,audio_r0.1_middle,audio,0.1,middle,728,0.6456043956043956,0.6039545367307048,0.6161728215424324,0.6366629498655197,0.7412987342526971,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,audio_r0.1_late,audio,0.1,late,728,0.6456043956043956,0.6039545367307048,0.6162236296101012,0.6367019063206956,0.7413014868067744,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,audio_r0.2_early,audio,0.2,early,728,0.6456043956043956,0.6039545367307048,0.6155635600060143,0.6368829335951338,0.7413516181162495,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,audio_r0.2_middle,audio,0.2,middle,728,0.646978021978022,0.6054088301987463,0.6161805331338566,0.6366518249919053,0.7420040022876029,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,audio_r0.2_late,audio,0.2,late,728,0.6456043956043956,0.6039545367307048,0.6162276143965485,0.6366597533264153,0.7412960516497208,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,audio_r0.3_early,audio,0.3,early,728,0.646978021978022,0.6054088301987463,0.6154287427274899,0.6369137720411777,0.7420680702690272,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,audio_r0.3_middle,audio,0.3,middle,728,0.646978021978022,0.6062460131307401,0.6162602923513687,0.6366376217219959,0.742208199311133,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,audio_r0.3_late,audio,0.3,late,728,0.6442307692307693,0.6018626758461068,0.6162027919224904,0.6366862482258618,0.7404340259673479,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,audio_r0.4_early,audio,0.4,early,728,0.646978021978022,0.6054088301987463,0.6155188656923781,0.6369192188470967,0.7420649959962301,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,audio_r0.4_middle,audio,0.4,middle,728,0.646978021978022,0.6062830595106427,0.6165014612590792,0.6366265854896949,0.742206032672583,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,audio_r0.4_late,audio,0.4,late,728,0.6442307692307693,0.6018626758461068,0.6161433506685381,0.6367094597082265,0.7404394041215583,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,audio_r0.5_early,audio,0.5,early,728,0.646978021978022,0.6054088301987463,0.6160092242727322,0.6368222028814776,0.742032437393013,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,audio_r0.5_middle,audio,0.5,middle,728,0.646978021978022,0.6062830595106427,0.6165254232013128,0.636623010618978,0.7422045873994837,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,audio_r0.5_late,audio,0.5,late,728,0.6442307692307693,0.6018626758461068,0.6165608381545478,0.6365362709344113,0.7404003602129142,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,vision_r0.1_early,vision,0.1,early,728,0.6456043956043956,0.603141256502601,0.6158954270368258,0.6368253221389084,0.741127268834245,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,vision_r0.1_middle,vision,0.1,middle,728,0.6456043956043956,0.6045307078526424,0.6148000028250473,0.6375960673257609,0.7416166174956027,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,vision_r0.1_late,vision,0.1,late,728,0.6442307692307693,0.6018626758461068,0.615927587391215,0.6363460906954838,0.7404029731315205,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,vision_r0.2_early,vision,0.2,early,728,0.6442307692307693,0.6036974701531076,0.6170709864543444,0.6354449459610261,0.740701386988833,15,0.5333333333333333,0.5555555555555555
