model,modalities,rho,accuracy_mean,accuracy_sample_sd,macro_f1_mean,macro_f1_sample_sd,mae_mean,mae_sample_sd,pearson_mean,pearson_sample_sd,selection_score_mean,selection_score_sample_sd,n_seeds
B0-WCE,audio,0.1,0.6401098901098901,0.0047583813394749845,0.6139303876941798,0.009120742418254203,0.6082094260065001,0.010320153912496416,0.6408469044961203,0.004319546159404334,0.7432738730960949,0.0018417562845209747,3
B0-WCE,audio,0.2,0.6402625152625152,0.005022735858334702,0.6141035475361747,0.008871290261819667,0.6081781877626656,0.010324495966429368,0.6408512507064934,0.004315362142167964,0.7433571642145398,0.0017197194807827946,3
B0-WCE,audio,0.3,0.6399572649572649,0.00528709037719442,0.6138940113406596,0.008652226995085029,0.6081586130695721,0.010322260401572345,0.6408579947498042,0.004315545187590571,0.7432301262069745,0.0016076173414892576,3
B0-WCE,audio,0.4,0.6399572649572649,0.00528709037719442,0.6138904178820809,0.008643222811294513,0.6082417216369148,0.010259144454948878,0.6408464415418056,0.004316246511071558,0.7432243208343574,0.0016073774632060455,3
B0-WCE,audio,0.5,0.6399572649572649,0.005306879930010335,0.6139029319817152,0.008540268148383516,0.6085271190099136,0.010314986960555378,0.6407406041362939,0.004303862367667439,0.7432023281263687,0.001527598025815901,3
B0-WCE,text,0.1,0.6364468864468864,0.005626467823921521,0.6091566599952956,0.009295482397990608,0.6109570797614671,0.010336748281140347,0.6372317674801125,0.003354303907308373,0.7405983125554985,0.0017852030812190631,3
B0-WCE,text,0.2,0.6318681318681318,0.007620566381452984,0.6044071606561884,0.005879326060145088,0.613554847091823,0.010019105122200755,0.6342925264929359,0.0029183815837512945,0.7377906036472044,0.0002749147252384665,3
B0-WCE,text,0.3,0.6315628815628815,0.008594571566117913,0.6063489218785182,0.005254486434540163,0.6157916109867949,0.009869430583009913,0.6294272520243873,0.0030299203800934213,0.7374983735722819,0.0013798917501319642,3
B0-WCE,text,0.4,0.6222527472527473,0.007565344158360003,0.5984642445658793,0.006799230376728249,0.6152501924745784,0.008811806068695013,0.6266179314264977,0.0038053876415640145,0.7328710646965281,0.001271934591334382,3
B0-WCE,text,0.5,0.6117216117216118,0.007152243292954822,0.5901326763346311,0.008168963834488339,0.6234896669342832,0.00822765765181294,0.6136278545896393,0.0032770940692502105,0.7261883177155039,0.0009507985487348204,3
B0-WCE,vision,0.1,0.6396520146520146,0.004780360123127588,0.6132232073207885,0.009440138995776658,0.6077797364378723,0.009977427716705872,0.6410383827418661,0.00431531366851566,0.7430244476510227,0.0019958168669635245,3
B0-WCE,vision,0.2,0.6399572649572649,0.00528709037719442,0.6141516876070942,0.008549128938177487,0.6079344926600974,0.009905552146010797,0.6409970506819915,0.004335965054761082,0.7433212656155013,0.0016010985786712782,3
B0-WCE,vision,0.3,0.6382783882783882,0.005159994354205469,0.6124736912277,0.008905176712646793,0.60818884595751,0.009910774487928736,0.6405122820021762,0.004360075014494521,0.7424108532118978,0.0017740546764138186,3
B0-WCE,vision,0.4,0.6382783882783882,0.006837538701038536,0.6126037996037871,0.00644762528837415,0.6080706124063194,0.010012394350210061,0.6402554396590856,0.004253608995400314,0.7424162014109995,0.000648117829693528,3
B0-WCE,vision,0.5,0.6378205128205128,0.007620566381452984,0.6125750059956838,0.004792576170472435,0.6080266004553354,0.009671309780746425,0.6398599368017601,0.004219749140747359,0.7422469301186302,0.00030654196284908515,3
B5-P2,audio,0.1,0.6416361416361416,0.0060973700718676156,0.6238534503745973,0.0029743887296256066,0.6060505572914558,0.00656386673500606,0.6472194959999983,0.0025016376775313597,0.7470227284488739,0.0021143399365638554,3
B5-P2,audio,0.2,0.6416361416361416,0.005797747226258458,0.623848364747689,0.0032135524180238505,0.6059874566209358,0.006553725513698826,0.6472342087605344,0.00249834470114419,0.7470259253318188,0.002112890529359195,3
B5-P2,audio,0.3,0.6414835164835164,0.005551444896054134,0.6237199872384344,0.0032683546281209075,0.6059742938119904,0.006523259371887434,0.647235236062396,0.0024818939089469366,0.7469563515294543,0.002055680809287282,3
B5-P2,audio,0.4,0.6414835164835164,0.005551444896054134,0.6237089393846271,0.003281606568594973,0.6060690200763672,0.00646035775618676,0.6472111869058217,0.0024667484987187555,0.7469466364937483,0.0020537574238991664,3
B5-P2,audio,0.5,0.6414835164835164,0.005551444896054134,0.6236725537915011,0.0031560273330732977,0.6064146009395502,0.006507762155794532,0.6471182266620514,0.0024968300666854733,0.7469115208623629,0.0020321013193887643,3
B5-P2,text,0.1,0.6356837606837606,0.008952997177083342,0.616309392317455,0.00404121882759603,0.6089833822489121,0.006589112554913017,0.6439868822101159,0.0031722061092171175,0.7431223409328638,0.002896934070891947,3
B5-P2,text,0.2,0.6288156288156288,0.005022735858334638,0.6091860672388889,0.000706657654135102,0.612062699668637,0.006196241254522904,0.6397106859340379,0.0026049693430599047,0.738961647269191,0.0011902799116964154,3
B5-P2,text,0.3,0.6268315018315018,0.001211424592978288,0.6089052488799351,0.005113018562845051,0.6141725822837434,0.006257257581403882,0.6334670377249881,0.002344591013900437,0.7375270431316602,0.0011658101315732707,3
B5-P2,text,0.4,0.6187423687423688,0.004327669987410798,0.602647703394758,0.0019815408182067185,0.6137162226801499,0.005949164242234768,0.6293332752308047,0.0035514186788657685,0.7334426681597928,0.0005317021723907027,3
B5-P2,text,0.5,0.6065323565323566,0.0055198844078221156,0.5933207296505398,0.003837652424263769,0.6222419290080148,0.006142868034825146,0.6150715671524585,0.0033993721103482,0.7259204703977807,0.0012873972434854937,3
B5-P2,vision,0.1,0.6413308913308913,0.006350013450157157,0.6235761886884456,0.0028951387284542195,0.6056921081725504,0.006085212495964658,0.6473278524328714,0.0024891558230680797,0.7469055803850869,0.002137256118322862,3
B5-P2,vision,0.2,0.6396520146520146,0.005551444896054138,0.6218147013903846,0.0005853558436363964,0.6057469477008242,0.006011589403700632,0.6473177525498922,0.0025019231221798076,0.7460419419251353,0.0013527751878271194,3
B5-P2,vision,0.3,0.6388888888888888,0.007401926528072163,0.6211313652231084,0.0015760127513686215,0.605833182800493,0.005875914138427203,0.6469388670260178,0.0025264404179237503,0.7456293726228976,0.002146462734427673,3
B5-P2,vision,0.4,0.6385836385836385,0.00687321749035272,0.6205782906687415,0.0034508401414355514,0.6056244485364528,0.005811704615642103,0.6467121165119769,0.0027418929046494475,0.7453951448547399,0.0026280365442235376,3
B5-P2,vision,0.5,0.6375152625152625,0.0055198844078221156,0.6196937945375466,0.002797992247251386,0.6054503203174088,0.0048796431061101965,0.6463652214982811,0.0026911376146761534,0.7448708202705954,0.0020125514616314245,3
