model,modalities,pair,location,accuracy_mean,accuracy_sample_sd,macro_f1_mean,macro_f1_sample_sd,mae_mean,mae_sample_sd,pearson_mean,pearson_sample_sd,selection_score_mean,selection_score_sample_sd,n_seeds
B0-WCE,audio+vision,AV,early,0.6378205128205128,0.004415591007780705,0.6119724124846749,0.009411530480168262,0.610123013125753,0.010380228058509309,0.6388595564481179,0.004850855238459552,0.7418838836687386,0.002188750840534451,3
B0-WCE,audio+vision,AV,late,0.6378205128205128,0.0079306355657916,0.6125375271068163,0.006645995070775026,0.6084221372391087,0.00993112929842666,0.6401449544555323,0.003964902916801954,0.742256706903811,0.0008470798427090448,3
B0-WCE,audio+vision,AV,middle,0.6387362637362637,0.0036342737789349273,0.612238583486607,0.010377708904211488,0.6068360732591987,0.008656636351351277,0.6422337954298785,0.004452773661016286,0.7427380998486525,0.002388499857036269,3
B0-WCE,text+audio,TA,early,0.6282051282051282,0.004196497889153685,0.602442791996396,0.010147738058804598,0.620790955721445,0.013853139665231128,0.6233978773980134,0.001903047328323315,0.7347204249034058,0.0021246913434089117,3
B0-WCE,text+audio,TA,late,0.6304945054945055,0.008355443036123898,0.5984596589852218,0.006913650863670319,0.6195330261781593,0.008696125809279582,0.6320634304218775,0.0036084353911499494,0.7354325938319098,0.0018493176078878573,3
B0-WCE,text+audio,TA,middle,0.6336996336996337,0.013895596067301771,0.614780787271039,0.0040053750041963085,0.6074565433634397,0.008258848655295026,0.632622509899601,0.005084911021385502,0.7408872296733083,0.0033653568011499805,3
B0-WCE,text+vision,TV,early,0.6277472527472527,0.007137572009212381,0.6009873108042731,0.01325137703232058,0.6230891375451079,0.013520303769403927,0.6212668969221486,0.002720387456527752,0.7338799556054372,0.0037305326693296385,3
B0-WCE,text+vision,TV,late,0.6304945054945055,0.009615384615384645,0.5999386924959317,0.008140409931081203,0.6190566929916923,0.008921364903361912,0.6312463596310188,0.0029088736130494894,0.7357200655768328,0.002795207392711718,3
B0-WCE,text+vision,TV,middle,0.6346153846153846,0.008578293953843985,0.6160394600244292,0.004149599362807386,0.6052903005454158,0.008117658922789034,0.6338334087720516,0.005007303078382386,0.7416724580670676,0.000343466944821817,3
B5-P2,audio+vision,AV,early,0.641025641025641,0.007810770196534824,0.6227070296070715,0.002729828307730222,0.6074424797767984,0.0059933530102660405,0.64572154453359,0.0029490987631048443,0.7463382574008436,0.0021874284883941935,3
B5-P2,audio+vision,AV,late,0.6391941391941391,0.00619402438574577,0.6221254186546565,0.0033351701680533704,0.6060769959615592,0.006742838867606599,0.646645414630763,0.0026452268198273333,0.7459073581259793,0.00238358798178081,3
B5-P2,audio+vision,AV,middle,0.6373626373626373,0.008578293953843985,0.6194077257524042,0.0031549166099699055,0.6043052655463909,0.004098213052307745,0.648482714879658,0.0016641339587708222,0.7450735440742846,0.0028779566574365367,3
B5-P2,text+audio,TA,early,0.6236263736263736,0.006868131868131844,0.6056834571750271,0.00807153611713127,0.6204754889297944,0.010369200323405922,0.6237770254827675,0.003261497876121981,0.7344464405136214,0.002955313249875433,3
B5-P2,text+audio,TA,late,0.6272893772893773,0.0020982489445768426,0.6030120310915388,0.005997900709902842,0.6192458371219017,0.002105682583491763,0.6386290315609306,0.002262553709037111,0.7366020711602661,0.001514608418651079,3
B5-P2,text+audio,TA,middle,0.6286630036630036,0.0020982489445768426,0.6170139640478424,0.005296037011831225,0.6030657191951878,0.00716078000330525,0.6380378552440442,0.00304072520880295,0.7410462355334175,0.002046169507878603,3
B5-P2,text+vision,TV,early,0.6240842490842491,0.010125157686582374,0.605451123864952,0.009287550044908598,0.6224279259570326,0.009603949548474182,0.6221252109257139,0.0037763125556373946,0.7342149976881381,0.0039211018559280435,3
B5-P2,text+vision,TV,late,0.6268315018315018,0.0020982489445768426,0.6033459324678133,0.008218797876320124,0.6191027962616321,0.003156656030345759,0.6379143426290708,0.0031228939496828097,0.7364877015592279,0.0023200658876843783,3
B5-P2,text+vision,TV,middle,0.6277472527472527,0.0013736263736263687,0.6158266828606396,0.005410052024043501,0.6007713499775791,0.005875191505934636,0.6389297567698756,0.0025459904501501933,0.7407275639158084,0.0012303526050869728,3
