model,training_seed,modalities,location,accuracy,macro_f1,mae,pearson,selection_score,scenario_count_averaged,pair
B0-WCE,42,audio+vision,early,0.6428571428571429,0.6020883047651968,0.6183524232378209,0.6338329828749873,0.7397008004633825,1,AV
B0-WCE,42,audio+vision,late,0.646978021978022,0.6059279366534658,0.6162454401255473,0.6364699520489339,0.7421083403254242,1,AV
B0-WCE,42,audio+vision,middle,0.6428571428571429,0.6005382038761439,0.614834714808839,0.6386310431559024,0.7400596039607745,1,AV
B0-WCE,42,text+audio,early,0.6318681318681318,0.5927703416873005,0.6247773892450873,0.6218820632000871,0.7328624850703237,1,TA
B0-WCE,42,text+audio,late,0.6401098901098901,0.5959938364560603,0.6276310662288669,0.6292215671639482,0.7365273331107783,1,TA
B0-WCE,42,text+audio,middle,0.6497252747252747,0.6178794663580894,0.6128152717559875,0.6269615804361669,0.7447374131688624,1,TA
B0-WCE,42,text+vision,early,0.6318681318681318,0.5903467130402498,0.6285425166312891,0.6186267924692009,0.7316927887594418,1,TV
B0-WCE,42,text+vision,late,0.6414835164835165,0.5982267907162866,0.6268160025957603,0.6289853797537185,0.7374334158276755,1,TV
B0-WCE,42,text+vision,middle,0.6442307692307693,0.6115101758488795,0.6118033329270535,0.6284293117473865,0.7419970946997082,1,TV
B0-WCE,43,audio+vision,early,0.6346153846153846,0.6130022780921118,0.5984613390455207,0.6392325243028602,0.7418725920878348,1,AV
B0-WCE,43,audio+vision,late,0.6332417582417582,0.6124653064895845,0.5972493372571009,0.6396178789264573,0.7414936119962637,1,AV
B0-WCE,43,audio+vision,middle,0.6373626373626373,0.6158476396883145,0.597645061725116,0.6408583295318401,0.7435079828823381,1,AV
B0-WCE,43,text+audio,early,0.6236263736263736,0.6015510710553814,0.6053816762210412,0.6255335797001408,0.7342618221237462,1,TA
B0-WCE,43,text+audio,late,0.6263736263736264,0.5931169822376366,0.610342127644549,0.6308454861747299,0.7332974159394674,1,TA
B0-WCE,43,text+audio,middle,0.6263736263736264,0.6102579531738198,0.5979455173179343,0.634103260475311,0.7385064058913615,1,TA
B0-WCE,43,text+vision,early,0.6195054945054945,0.5967848867211393,0.6076938211457333,0.6240610231873932,0.7317596473240102,1,TV
B0-WCE,43,text+vision,late,0.6236263736263736,0.5927903746453457,0.6093088538375694,0.6302256817025493,0.7324945283708497,1,TV
B0-WCE,43,text+vision,middle,0.6318681318681318,0.6169500845662886,0.5961958315213222,0.6347550400215545,0.7417074411312443,1,TV
B0-WCE,44,audio+vision,early,0.635989010989011,0.6208266545967162,0.6135552770939174,0.6435131621665061,0.7440782584549985,1,AV
B0-WCE,44,audio+vision,late,0.6332417582417582,0.6192193381773986,0.6117716343346778,0.6443470323912059,0.7431681683897451,1,AV
B0-WCE,44,audio+vision,middle,0.635989010989011,0.6203299068953626,0.6080284432436411,0.6472120136018928,0.7446467127028449,1,AV
B0-WCE,44,text+audio,early,0.6291208791208791,0.6130069632465063,0.6322138016982065,0.6227779892938125,0.7370369675161477,1,TA
B0-WCE,44,text+audio,late,0.625,0.6062681582619683,0.620625884661062,0.6361232379269544,0.7364730324454838,1,TA
B0-WCE,44,text+audio,middle,0.625,0.6162049422812078,0.6116088410163973,0.636802688787325,0.739417869959701,1,TA
B0-WCE,44,text+vision,early,0.6318681318681318,0.6158303326514303,0.6330310748583012,0.6211128751098517,0.7381874307328595,1,TV
B0-WCE,44,text+vision,late,0.6263736263736264,0.6087989121261628,0.6210452225417472,0.6345280174367885,0.7372322525319731,1,TV
B0-WCE,44,text+vision,middle,0.6277472527472527,0.6196581196581197,0.6078717371878716,0.6383158745472138,0.7413128383702502,1,TV
B5-P2,42,audio+vision,early,0.6497252747252747,0.6245954597647397,0.6086468114722315,0.644693230056121,0.7488065535681757,1,AV
B5-P2,42,audio+vision,late,0.6456043956043956,0.621560620084435,0.6087168448471597,0.6461989856017832,0.7472029252537988,1,AV
B5-P2,42,audio+vision,middle,0.646978021978022,0.6219022296033166,0.6061631230750009,0.6478769744511119,0.7479478879069319,1,AV
B5-P2,42,text+audio,early,0.6236263736263736,0.5990666588420935,0.6196789422768404,0.6210915275478849,0.7324897431324007,1,TA
B5-P2,42,text+audio,late,0.6277472527472527,0.5960902882741316,0.6210907070314163,0.6404472928514343,0.7351365174021329,1,TA
B5-P2,42,text+audio,middle,0.6291208791208791,0.6113126704537123,0.6010491586863421,0.635776943738101,0.7395367904156462,1,TA
B5-P2,42,text+vision,early,0.6277472527472527,0.6025987410191278,0.6222772286120024,0.6189560336209925,0.7340277847853858,1,TV
B5-P2,42,text+vision,late,0.625,0.5938928240106781,0.6215156885631546,0.6404419525409358,0.7338819630468217,1,TV
B5-P2,42,text+vision,middle,0.6291208791208791,0.6096379407136571,0.5992314354363051,0.63671259550033,0.7393108029196626,1,TV
B5-P2,43,audio+vision,early,0.6346153846153846,0.619577102688952,0.6009384100683607,0.6490471267697443,0.7446399122527871,1,AV
B5-P2,43,audio+vision,late,0.6387362637362637,0.6257069256950823,0.5984136281013079,0.6494854498823108,0.7473625774222377,1,AV
B5-P2,43,audio+vision,middle,0.6346153846153846,0.6204597316896509,0.5996071691983021,0.6503648731400623,0.7450807561688374,1,AV
B5-P2,43,text+audio,early,0.6167582417582418,0.6033073880148939,0.6105275334544725,0.62740635356042,0.7330035544110668,1,TA
B5-P2,43,text+audio,late,0.6291208791208791,0.6066776467385165,0.6169518189924349,0.6393445835603419,0.7381613786185401,1,TA
B5-P2,43,text+audio,middle,0.6304945054945055,0.6217801907951666,0.5971294416493358,0.641494728665271,0.7433751217535213,1,TA
B5-P2,43,text+vision,early,0.6126373626373627,0.5979242979242979,0.6129002118544592,0.62630359465986,0.7303908556456286,1,TV
B5-P2,43,text+vision,late,0.6291208791208791,0.607346061266599,0.6155303534181727,0.6388778359740055,0.7383293665345296,1,TV
B5-P2,43,text+vision,middle,0.6263736263736264,0.6181839882101419,0.5958194742695644,0.641710226845035,0.7415273705736729,1,TV
B5-P2,44,audio+vision,early,0.6387362637362637,0.6239485263675227,0.6127422177898032,0.6434242767749045,0.7455683063815679,1,AV
B5-P2,44,audio+vision,late,0.6332417582417582,0.6191087101844522,0.6111005149362098,0.6442518084081947,0.7431565717019015,1,AV
B5-P2,44,audio+vision,middle,0.6304945054945055,0.615861215964245,0.6071455043658696,0.6472062970478,0.7421919881470846,1,AV
B5-P2,44,text+audio,early,0.6304945054945055,0.6146763246680941,0.6312199910580703,0.6228331953399976,0.7378460239973966,1,TA
B5-P2,44,text+audio,late,0.625,0.6062681582619683,0.6196949853418539,0.6360952182710157,0.7365083174601251,1,TA
B5-P2,44,text+audio,middle,0.6263736263736264,0.6179490308946481,0.6110185572498856,0.6368418933287606,0.7402267944310852,1,TA
B5-P2,44,text+vision,early,0.6318681318681318,0.6158303326514303,0.632106337404636,0.6211160044962895,0.7382263526334002,1,TV
B5-P2,44,text+vision,late,0.6263736263736264,0.6087989121261628,0.6202623468035688,0.6344232393722709,0.7372517750963326,1,TV
B5-P2,44,text+vision,middle,0.6277472527472527,0.6196581196581197,0.6072631402268678,0.6383664479642618,0.7413445182540896,1,TV
