model,modalities,location,accuracy_mean,accuracy_sample_sd,macro_f1_mean,macro_f1_sample_sd,mae_mean,mae_sample_sd,pearson_mean,pearson_sample_sd,selection_score_mean,selection_score_sample_sd,n_seeds
B0-WCE,audio,early,0.6401098901098901,0.005487633064680863,0.6140088154490471,0.008367531483918778,0.6079242229622007,0.010401510391460086,0.6409628950754807,0.004262892896280567,0.743319862317411,0.0014362324586207763,3
B0-WCE,audio,late,0.6399267399267399,0.004205480770404823,0.6135760615898783,0.009834793066629068,0.6083846865730163,0.01016612442144708,0.6407689960124746,0.004370963151035385,0.7431224629401715,0.0021430060327811257,3
B0-WCE,audio,middle,0.6401098901098901,0.005716662650188178,0.6142479008219607,0.008123470184844127,0.6084801309561227,0.010360652282029904,0.6407540262903552,0.0043094102696911735,0.7433303622294186,0.0014429683643226265,3
B0-WCE,text,early,0.6241758241758242,0.004670329670329654,0.5984801593890722,0.01069591633368925,0.6208881975704251,0.012580279804409917,0.6221637709945401,0.0023631572096751395,0.7325641257001072,0.0021907310700372985,3
B0-WCE,text,late,0.6284798534798535,0.006809271591582934,0.5982596602934608,0.00850925138936059,0.6188950102206578,0.007728288247183176,0.630978815780012,0.0032558178647255675,0.7347699383233026,0.002136318355374281,3
B0-WCE,text,middle,0.6276556776556776,0.011328323713863562,0.6083659783757744,0.0024817048722055473,0.6076428305582849,0.00857394063311854,0.6315758124335914,0.004886887808817836,0.7376339392888001,0.001519817444011141,3
B0-WCE,vision,early,0.6388278388278388,0.005455447255899854,0.6129835717263604,0.008127414019563356,0.6099009881161099,0.010209219756503612,0.6389956700477185,0.00476883558948821,0.7424147702230101,0.0017142761026912258,3
B0-WCE,vision,late,0.6392857142857142,0.007137572009212445,0.6139046938744447,0.006913734732253702,0.6075466046679506,0.009943998206470803,0.6405859938418572,0.0038789642653716586,0.7430564094091072,0.0008797402612225518,3
B0-WCE,vision,middle,0.6382783882783882,0.00545544725589985,0.612128169452227,0.008050066541770024,0.6065525799662203,0.009526139652591933,0.6420161912425519,0.004300064116586507,0.7425806391727137,0.0014171595713889458,3
B5-P2,audio,early,0.6414835164835165,0.005788820743325713,0.6236735474729397,0.0035309762048838455,0.6057937302746069,0.006615782020058201,0.6473109693471776,0.002494416064206926,0.7469617317294026,0.0022471109716605164,3
B5-P2,audio,late,0.6419413919413919,0.005718862635896011,0.6240907344528577,0.0026577007133206515,0.6061466580580906,0.006384768395206055,0.6471650393565153,0.0024441171306293836,0.7471475507657064,0.001865457349443813,3
B5-P2,audio,middle,0.6412087912087912,0.005676917120816474,0.623517695396312,0.0033317625788465695,0.6063571689114821,0.006567347493948854,0.6471350039307882,0.002529783150346405,0.7468086151046459,0.0021173442398376187,3
B5-P2,text,early,0.622985347985348,0.003750109016381538,0.6057188118698057,0.0039648963280096644,0.6189033415888336,0.010532362114022954,0.6244973624493423,0.003495116211401753,0.7344505710370881,0.0007009531004282534,3
B5-P2,text,late,0.6255494505494505,0.0050357974669844215,0.6027773144909593,0.00420924912039129,0.6194678152802199,0.0015281030234786685,0.6360870969859735,0.0013836093482289043,0.73578141941334,0.0016239821572826831,3
B5-P2,text,middle,0.6214285714285714,0.006901020157736497,0.6097253585281811,0.0006880755935497625,0.6043349326646208,0.006986627671906309,0.6363572095161272,0.003175748470749142,0.7371525114843448,0.0017326081890660541,3
B5-P2,vision,early,0.6405677655677655,0.007693942788020172,0.6221619641505948,0.001840667454405189,0.6073037516707793,0.005670923035841081,0.6457532451578157,0.00300165571196762,0.7460972650880345,0.002279162539780408,3
B5-P2,vision,late,0.6391941391941391,0.004566834300290029,0.621861834168134,0.003780371185130235,0.605547520945756,0.006768948054628103,0.6468968861528096,0.0027125731573983286,0.7458949574035963,0.002071701299985058,3
B5-P2,vision,middle,0.6378205128205128,0.006973549949998544,0.6200528059862073,0.0025945540068318274,0.6041569319001021,0.004767134803459664,0.6481469547007982,0.0020617651197782903,0.7453134935434422,0.002281901731790299,3
