model,training_seed,modalities,location,accuracy,macro_f1,mae,pearson,selection_score,scenario_count_averaged
B0-WCE,42,audio,early,0.6464285714285715,0.6048271128115297,0.61564914710963,0.6368698320535504,0.7417706022704845,5
B0-WCE,42,audio,late,0.6447802197802198,0.6026994201999459,0.6162716449504452,0.6366587277031222,0.7407742657516632,5
B0-WCE,42,audio,middle,0.6467032967032967,0.6056350998162953,0.6163281062976099,0.6366403985376188,0.7419843111847,5
B0-WCE,42,text,early,0.6288461538461538,0.5877736808317537,0.6253508033189963,0.6195841725135054,0.7305466967620402,5
B0-WCE,42,text,late,0.6362637362637363,0.5930997770475427,0.6255965799809649,0.6284148313711716,0.7348262080833426,5
B0-WCE,42,text,middle,0.6403846153846154,0.6055607601678463,0.6129385328073832,0.6261636823896872,0.7392176986531853,5
B0-WCE,42,vision,early,0.6450549450549451,0.6046984468838071,0.6184430498281842,0.6340559599449508,0.7409268825682992,5
B0-WCE,42,vision,late,0.6475274725274726,0.6068291159005175,0.6152569680474699,0.6369155554619269,0.7425678845377603,5
B0-WCE,42,vision,middle,0.6442307692307693,0.6029913297910627,0.6151485838558893,0.6381599852486761,0.7409443319175472,5
B0-WCE,43,audio,early,0.6373626373626373,0.6159943192590218,0.5960971153464045,0.640641435419013,0.7435820387766913,5
B0-WCE,43,audio,late,0.6376373626373626,0.6161864574768761,0.5969114662588134,0.6402874808641217,0.7436205790424576,5
B0-WCE,43,audio,middle,0.6365384615384615,0.6153363031937096,0.5967362917529849,0.6403860583401547,0.7431529363191878,5
B0-WCE,43,text,early,0.6195054945054945,0.5985013152200029,0.6066849565737277,0.6242241322086339,0.732251179100215,5
B0-WCE,43,text,late,0.6236263736263736,0.5935981198254591,0.6104409752689957,0.629879665835865,0.7326060409562332,5
B0-WCE,43,text,middle,0.6239010989010989,0.6092617125670032,0.5977507326649604,0.6328986534148058,0.7374967540161695,5
B0-WCE,43,vision,early,0.6348901098901099,0.6133087543652633,0.5985941165628341,0.6393580999035071,0.7420280570283303,5
B0-WCE,43,vision,late,0.6351648351648351,0.6142406278991827,0.5963228530526816,0.6401980901502925,0.7425293414909293,5
B0-WCE,43,vision,middle,0.637087912087912,0.6152159839736344,0.5963107682559844,0.6412354553911358,0.7433841239286125,5
B0-WCE,44,audio,early,0.6365384615384615,0.6212050142765897,0.6120264064305677,0.6453774177538786,0.7446069459050573,5
B0-WCE,44,audio,late,0.6373626373626373,0.6218423070928129,0.6119709485097901,0.6453607794701801,0.7449725440263938,5
B0-WCE,44,audio,middle,0.637087912087912,0.6217722994558771,0.6123759948177734,0.645235621993292,0.7448538391843682,5
B0-WCE,44,text,early,0.6241758241758242,0.60916548211546,0.6306288328185514,0.6226830082614812,0.7348945012380665,5
B0-WCE,44,text,late,0.6255494505494505,0.6080810840073806,0.6206474754120131,0.6346419501329995,0.7368775659303322,5
B0-WCE,44,text,middle,0.6186813186813187,0.6102754623924737,0.6122392262025111,0.6356651014962812,0.7361873651970452,5
B0-WCE,44,vision,early,0.6365384615384615,0.6209435139300107,0.6126657979573114,0.6435729502946977,0.7442893710724007,5
B0-WCE,44,vision,late,0.6351648351648351,0.6206443378236338,0.6110599929037003,0.6446443359133521,0.7440720021986321,5
B0-WCE,44,vision,middle,0.6335164835164835,0.618177194591984,0.6081983877867869,0.6466531330878439,0.7434134616719812,5
B5-P2,42,audio,early,0.6475274725274726,0.6227387398777782,0.6078340698463413,0.6464596997479489,0.7480475959928755,5
B5-P2,42,audio,late,0.6483516483516484,0.6234347966531252,0.6084053721882731,0.646220276585081,0.7483739219831504,5
B5-P2,42,audio,middle,0.6472527472527473,0.6225067209526626,0.6086247634541776,0.6461953905780905,0.7478549257296897,5
B5-P2,42,text,early,0.6255494505494505,0.6018185759458521,0.6183607939651216,0.6222269613503159,0.733855343710735,5
B5-P2,42,text,late,0.631043956043956,0.6022393790485452,0.6208551441953815,0.6362515342701436,0.736983311215419,5
B5-P2,42,text,middle,0.6293956043956044,0.6104555209131445,0.6036610747585175,0.6335723965154374,0.739006786110012,5
B5-P2,42,vision,early,0.6494505494505495,0.6242439154471309,0.6091034134061863,0.6446295291488532,0.7486229984761023,5
B5-P2,42,vision,late,0.6434065934065935,0.6194061677642874,0.6084715749505538,0.646251594241336,0.7461316572832808,5
B5-P2,42,vision,middle,0.6456043956043956,0.621118440316674,0.6064912877567522,0.647316875728997,0.747324848123194,5
B5-P2,43,audio,early,0.640934065934066,0.6275778676252601,0.5983981128526176,0.6501195889460396,0.748459677305894,5
B5-P2,43,audio,late,0.6401098901098901,0.6270149857494879,0.5989395608439796,0.6499405221354672,0.748067969196612,5
B5-P2,43,audio,middle,0.6403846153846153,0.6272378505461688,0.5989565092394804,0.6500001493824151,0.7481991139371862,5
B5-P2,43,text,early,0.6186813186813187,0.6055925091867805,0.6086527389873351,0.6285221644364863,0.7342731967304467,5
B5-P2,43,text,late,0.6211538461538462,0.5988628927667093,0.6178299115991199,0.6373811396247461,0.7339339141999355,5
B5-P2,43,text,middle,0.6175824175824176,0.6096315616720098,0.597709649119649,0.6398157696319754,0.736875897304285,5
B5-P2,43,vision,early,0.635989010989011,0.6214913474860777,0.6009513726550062,0.6491546249110408,0.7454747772053604,5
B5-P2,43,vision,late,0.6398351648351648,0.6262151246457415,0.5978080670103676,0.6498739156332048,0.7478381423656119,5
B5-P2,43,vision,middle,0.6357142857142857,0.6219448657456168,0.5986725023824845,0.6504943766758982,0.7457818973501927,5
B5-P2,44,audio,early,0.635989010989011,0.6207040349157807,0.6111490081248621,0.6453536193475443,0.7443779218894383,5
B5-P2,44,audio,late,0.6373626373626373,0.6218224209559599,0.6110950411420193,0.6453343193489977,0.7450007611173566,5
B5-P2,44,audio,middle,0.635989010989011,0.6208085146901046,0.6114902340407882,0.645209471831859,0.7443718056470617,5
B5-P2,44,text,early,0.6247252747252747,0.6097453504767846,0.6296964918140444,0.6227429615612248,0.7352231726700827,5
B5-P2,44,text,late,0.6244505494505495,0.6072296716576233,0.6197183900461584,0.6346286170630311,0.7364270328246655,5
B5-P2,44,text,middle,0.6173076923076923,0.6090889929993891,0.6116340741156958,0.6356834624009688,0.7355748510387374,5
B5-P2,44,vision,early,0.6362637362637362,0.6207506295185756,0.6118564689511453,0.6434755814135533,0.7441940195826411,5
B5-P2,44,vision,late,0.6343406593406593,0.6199642100943731,0.6103629208763468,0.644565148583888,0.7437150725618963,5
B5-P2,44,vision,middle,0.6321428571428571,0.6170951118963311,0.6073070055610695,0.6466296116974993,0.74283373515694,5
