model,seed,clean_score,missing_score,robust_score,best_epoch
B0-WCE,42,0.741330793024988,0.7391650682228051,0.7402479306238966,3
B1-WCE,42,0.7375114138913652,0.7300214081800731,0.7337664110357192,5
B2-B0-BlockMask,42,0.7412752997079928,0.737375115069029,0.7393252073885108,2
B2-B1-BlockMask,42,0.7379070834695726,0.7343247087676971,0.7361158961186348,5
B0-WCE,43,0.743569985510933,0.7396695688206625,0.7416197771657977,3
B1-WCE,43,0.7359321766667472,0.7323773840668821,0.7341547803668147,4
B2-B0-BlockMask,43,0.7425458305650616,0.7385517864319957,0.7405488084985287,3
B2-B1-BlockMask,43,0.7379962380071567,0.7342238793288317,0.7361100586679943,4
B0-WCE,44,0.7449841927567907,0.7413405834042941,0.7431623880805425,4
B1-WCE,44,0.7401761474135756,0.7345870577690825,0.7373816025913291,4
B2-B0-BlockMask,44,0.7359047452406509,0.7355731369175134,0.7357389410790821,4
B2-B1-BlockMask,44,0.7345876732942169,0.730036645018563,0.7323121591563899,5
