model,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson,delta_selection_score
B0-WCE,clean,none,0.0,clean,728,0.6456043956043956,0.6039545367307048,0.6157719938667839,0.6367858108186316,0.741330793024988,0.0,0.0,0.0,0.0,0.0
B0-WCE,text_r0.1_early,text,0.1,early,728,0.6442307692307693,0.6016366696460307,0.6175916045545958,0.6346523224084554,0.7400654164971487,-0.0013736263736263687,-0.0023178670846740745,0.00181961068781189,-0.002133488410176243,-0.0012653765278393125
B0-WCE,text_r0.1_middle,text,0.1,middle,728,0.6428571428571429,0.6030350340309217,0.6149714485803558,0.6318818306054845,0.7398344626901869,-0.0027472527472527375,-0.0009195026997830258,-0.0008005452864281448,-0.0049039802131470855,-0.0014963303348011214
B0-WCE,text_r0.1_late,text,0.1,late,728,0.6414835164835165,0.5954646950353683,0.6211230840564674,0.6353458261251201,0.7377751526430084,-0.004120879120879106,-0.008489841695336509,0.005351090189683494,-0.0014399846935114757,-0.003555640381979641
B0-WCE,text_r0.2_early,text,0.2,early,728,0.6318681318681318,0.5886467065048017,0.6216263346895985,0.6310079584003058,0.7331036071145383,-0.013736263736263798,-0.015307830225903096,0.005854340822814552,-0.005777852418325846,-0.008227185910449797
B0-WCE,text_r0.2_middle,text,0.2,middle,728,0.6456043956043956,0.608485603496438,0.6136998383809331,0.6302136520227677,0.7417283796788489,0.0,0.004531066765733227,-0.002072155485850824,-0.006572158795863925,0.00039758665386080416
B0-WCE,text_r0.2_late,text,0.2,late,728,0.6442307692307693,0.5985282649322571,0.6248546236778026,0.6325286273797079,0.7387202276433116,-0.0013736263736263687,-0.005426271798447679,0.009082629811018705,-0.004257183438923673,-0.0026105653816764773
B0-WCE,text_r0.3_early,text,0.3,early,728,0.6318681318681318,0.5927703416873005,0.625166602796046,0.6217500059632024,0.7328297606844232,-0.013736263736263798,-0.011184195043404288,0.009394608929262027,-0.015035804855429213,-0.008501032340564874
B0-WCE,text_r0.3_middle,text,0.3,middle,728,0.6510989010989011,0.6198561237069641,0.6125063177269812,0.6270105367444644,0.7455939767225668,0.005494505494505475,0.01590158697625932,-0.0032656761398027756,-0.009775274074167228,0.004263183697578721
B0-WCE,text_r0.3_late,text,0.3,late,728,0.6414835164835165,0.5981523424687577,0.6271881897944015,0.6294081908714306,0.737452147355564,-0.004120879120879106,-0.005802194261947058,0.011416195927617556,-0.007377619947200986,-0.0038786456694240856
B0-WCE,text_r0.4_early,text,0.4,early,728,0.6236263736263736,0.5833144144972101,0.6259155992858603,0.6150425068823373,0.7275356937542772,-0.02197802197802201,-0.02064012223349465,0.01014360541907633,-0.02174330393629431,-0.013795099270710875
B0-WCE,text_r0.4_middle,text,0.4,middle,728,0.6318681318681318,0.5992073559023687,0.6090004152649051,0.6261031417071606,0.7356567473533158,-0.013736263736263798,-0.004747180828336028,-0.006771578601878825,-0.010682669111470977,-0.00567404567167229
B0-WCE,text_r0.4_late,text,0.4,late,728,0.6373626373626373,0.5968617504741175,0.6268753613560245,0.6263215490553715,0.7357264838679425,-0.008241758241758323,-0.007092786256587269,0.011103367489240568,-0.010464261763260096,-0.005604309157045573
B0-WCE,text_r0.5_early,text,0.5,early,728,0.6126373626373627,0.5725002718234259,0.6364538752688811,0.5954680689132262,0.7191990057598137,-0.03296703296703296,-0.03145426490727887,0.020681881402097146,-0.04131774190540538,-0.022131787265174396
B0-WCE,text_r0.5_middle,text,0.5,middle,728,0.6304945054945055,0.597219683702539,0.6145146440837409,0.6156092508685589,0.7332749268210084,-0.015109890109890167,-0.006734853028165788,-0.001257349783043038,-0.021176559950072726,-0.008055866203979689
B0-WCE,text_r0.5_late,text,0.5,late,728,0.6167582417582418,0.5764918323272131,0.6279416410201281,0.6184699634242277,0.7244570289068869,-0.028846153846153855,-0.027462704403491633,0.01216964715334412,-0.01831584739440395,-0.016873764118101153
