model,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson,delta_selection_score
B3.1-alpha0,clean,none,0.0,clean,728,0.6373626373626373,0.6159943192590218,0.5962483981306982,0.6405954368877121,0.743569985510933,0.0,0.0,0.0,0.0,0.0
B3.1-alpha0,text_r0.1_early,text,0.1,early,728,0.6318681318681318,0.6097961365357191,0.5968977448499793,0.6382715818664868,0.7403292754655244,-0.005494505494505475,-0.0061981827233027476,0.0006493467192810742,-0.0023238550212253406,-0.0032407100454086013
B3.1-alpha0,text_r0.1_middle,text,0.1,middle,728,0.6346153846153846,0.6153044817132663,0.5974651092745282,0.635266479774886,0.7419938970009181,-0.0027472527472527375,-0.0006898375457554673,0.0012167111438300404,-0.005328957112826105,-0.0015760885100148947
B3.1-alpha0,text_r0.1_late,text,0.1,late,728,0.6304945054945055,0.6012946993186691,0.6028682105959609,0.6376791171360148,0.7375376820704638,-0.006868131868131844,-0.014699619940352737,0.006619812465262664,-0.0029163197516973716,-0.006032303440469233
B3.1-alpha0,text_r0.2_early,text,0.2,early,728,0.6222527472527473,0.5990702800024834,0.6004722181011687,0.6343681749889484,0.7346071029332109,-0.015109890109890056,-0.016924039256538403,0.004223819970470499,-0.0062272618987637696,-0.008962882577722153
B3.1-alpha0,text_r0.2_middle,text,0.2,middle,728,0.6373626373626373,0.6200517498630705,0.5979360738042537,0.63561592809209,0.743891584742761,0.0,0.0040574306040487285,0.0016876756735555443,-0.004979508795622145,0.00032159923182795147
B3.1-alpha0,text_r0.2_late,text,0.2,late,728,0.6263736263736264,0.5939463071085923,0.6076429623875071,0.6336926734457952,0.7339731107851328,-0.01098901098901095,-0.022048012150429508,0.011394564256808959,-0.0069027634419169814,-0.009596874725800175
B3.1-alpha0,text_r0.3_early,text,0.3,early,728,0.6236263736263736,0.6023001093375376,0.6057599913328886,0.6254288797411389,0.7344202310697499,-0.013736263736263687,-0.01369420992148418,0.009511593202190416,-0.015166557146573223,-0.009149754441183156
B3.1-alpha0,text_r0.3_middle,text,0.3,middle,728,0.6263736263736264,0.6106876009693053,0.5976462335438355,0.6342811805171045,0.7386485280027113,-0.01098901098901095,-0.005306718289716517,0.001397835413137316,-0.006314256370607674,-0.004921457508221705
B3.1-alpha0,text_r0.3_late,text,0.3,late,728,0.6291208791208791,0.5961496263336755,0.6097829184842879,0.6311953444450554,0.7348094228157587,-0.008241758241758212,-0.019844692925346297,0.013534520353589707,-0.009400092442656716,-0.008760562695174334
B3.1-alpha0,text_r0.4_early,text,0.4,early,728,0.614010989010989,0.5929776908590468,0.6086543991824018,0.6206635213858828,0.7289695101748108,-0.02335164835164827,-0.02301662839997498,0.012406001051703641,-0.019931915501829378,-0.014600475336122187
B3.1-alpha0,text_r0.4_middle,text,0.4,middle,728,0.6167582417582418,0.6040769475834411,0.5937791364779185,0.6341559787765717,0.7347374973292455,-0.02060439560439553,-0.011917371675580712,-0.0024692616527797195,-0.006439458111140439,-0.00883248818168747
B3.1-alpha0,text_r0.4_late,text,0.4,late,728,0.6208791208791209,0.5913812635005966,0.6128055200615263,0.6273214499972474,0.7309467140086883,-0.016483516483516425,-0.024613055758425206,0.016557121930828145,-0.013273986890464773,-0.012623271502244737
B3.1-alpha0,text_r0.5_early,text,0.5,early,728,0.6057692307692307,0.588362359365228,0.6216404457003452,0.6023884948818466,0.7229297741563312,-0.03159340659340659,-0.027631959893793856,0.02539204756964697,-0.038206942005865496,-0.020640211354601812
B3.1-alpha0,text_r0.5_middle,text,0.5,middle,728,0.6043956043956044,0.5961877827059331,0.601927100532371,0.6251737156293468,0.7282122653735372,-0.03296703296703296,-0.019806536553088727,0.005678702401672786,-0.015421721258365384,-0.01535772013739578
B3.1-alpha0,text_r0.5_late,text,0.5,late,728,0.6112637362637363,0.5852187028657617,0.6191052734995117,0.6195097531125718,0.7257632758589663,-0.026098901098901006,-0.030775616393260097,0.022856875368813534,-0.021085683775140307,-0.017806709651966734
B3.1-alpha0,audio_r0.1_early,audio,0.1,early,728,0.6373626373626373,0.6159943192590218,0.5962021845843193,0.6406191032322155,0.7435748693684284,0.0,0.0,-4.6213546378903736e-05,2.3666344503348036e-05,4.883857495419086e-06
B3.1-alpha0,audio_r0.1_middle,audio,0.1,middle,728,0.6373626373626373,0.6159943192590218,0.5965167267790453,0.6404745305482664,0.7435436918581546,0.0,0.0,0.0002683286483471381,-0.00012090633944572549,-2.6293652778397458e-05
B3.1-alpha0,audio_r0.1_late,audio,0.1,late,728,0.6373626373626373,0.6159943192590218,0.5968261183147411,0.6403315745967684,0.74351293105023,0.0,0.0,0.0005777201840428958,-0.00026386229094377267,-5.7054460703032106e-05
B3.1-alpha0,audio_r0.2_early,audio,0.2,early,728,0.6373626373626373,0.6159943192590218,0.5960408021429819,0.640682150606046,0.7435894745585463,0.0,0.0,-0.000207595987716247,8.67137183339084e-05,1.9489047613285848e-05
B3.1-alpha0,audio_r0.2_middle,audio,0.2,middle,728,0.6373626373626373,0.6159943192590218,0.5965494453538578,0.6404510759714599,0.7435393967621032,0.0,0.0,0.00030104722315960064,-0.00014436091625225078,-3.0588748829774026e-05
B3.1-alpha0,audio_r0.2_late,audio,0.2,late,728,0.6373626373626373,0.6159943192590218,0.5968295401269264,0.6403174201723265,0.7435110191716671,0.0,0.0,0.0005811419962281628,-0.00027801671538563166,-5.89663392659423e-05
B3.1-alpha0,audio_r0.3_early,audio,0.3,early,728,0.6373626373626373,0.6159943192590218,0.5958973229709235,0.6406904358178495,0.7435964885088575,0.0,0.0,-0.0003510751597747275,9.499893013731331e-05,2.6502997924504612e-05
