seed,alpha,clean_score,mean_missing_score,robust_score
42,0.00,0.7413307930,0.7391650682,0.7402479306
42,0.25,0.7417543945,0.7399601548,0.7408572746
42,0.50,0.7434406084,0.7397094741,0.7415750413
42,0.75,0.7441256463,0.7394825190,0.7418040827
42,1.00,0.7457748043,0.7386017192,0.7421882618
43,0.00,0.7435699855,0.7396695688,0.7416197772
43,0.25,0.7401793064,0.7379907255,0.7390850160
43,0.50,0.7389404517,0.7379481105,0.7384442811
43,0.75,0.7401131194,0.7377498996,0.7389315095
43,1.00,0.7435167541,0.7376421158,0.7405794350
44,0.00,0.7449841928,0.7413405834,0.7431623881
44,0.25,0.7415305161,0.7399635036,0.7407470098
44,0.50,0.7416633438,0.7383391747,0.7400012592
44,0.75,0.7410886171,0.7376005497,0.7393445834
44,1.00,0.7397890592,0.7361061923,0.7379476257
