sample_id,video_id,clip_id,duration,text_feature_source,official_alignment_valid,media_text_valid,timestamp_valid,official_consistency_score,text_warning,aligned_length,timestamp_fallback_count,source_mp4_hash,processing_status,text_native_length,text_dimension,text_valid_bins,text_coverage,text_empty_bin_ratio,audio_native_length,audio_dimension,audio_valid_bins,audio_coverage,audio_empty_bin_ratio,vision_native_length,vision_dimension,vision_valid_bins,vision_coverage,vision_empty_bin_ratio
-3g5yACwYnA__13,-3g5yACwYnA,13,5.513997,official_transcript,True,True,True,0.84210526,only 15/16 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f,complete,15,768,33,0.66,0.33999999999999997,269,768,49,0.98,0.020000000000000018,23,768,50,1.0,0.0
-3g5yACwYnA__2,-3g5yACwYnA,2,9.39401,official_transcript,True,True,True,0.875,"prior transcript audit: mean word probability 0.868 and mean segment avg_logprob -0.498 are both below their observed cohort Q1s (0.905, -0.319); only 13/15 official tokens received observed Whisper times; unmatched tokens omitted from timed features",50,0,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7,complete,13,768,28,0.56,0.43999999999999995,461,768,50,1.0,0.0,38,768,50,1.0,0.0
-3g5yACwYnA__3,-3g5yACwYnA,3,14.388997,official_transcript,True,True,True,0.91176471,only 29/31 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d,complete,29,768,43,0.86,0.14,716,768,50,1.0,0.0,58,768,50,1.0,0.0
-3g5yACwYnA__9,-3g5yACwYnA,9,8.816992,official_transcript,True,True,True,0.88461538,"prior transcript audit: mean word probability 0.888 and mean segment avg_logprob -0.356 are both below their observed cohort Q1s (0.905, -0.319)",50,0,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016,complete,23,768,43,0.86,0.14,434,768,50,1.0,0.0,36,768,50,1.0,0.0
-3nNcZdcdvU__5,-3nNcZdcdvU,5,7.867969,official_transcript,True,True,True,0.89473684,only 17/18 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728,complete,17,768,37,0.74,0.26,389,768,50,1.0,0.0,32,768,50,1.0,0.0
-571d8cVauQ__0,-571d8cVauQ,0,5.166666333333334,official_transcript,True,True,True,0.91666667,"prior transcript audit: mean word probability 0.866 and mean segment avg_logprob -0.383 are both below their observed cohort Q1s (0.905, -0.319); only 11/12 official tokens received observed Whisper times; unmatched tokens omitted from timed features",50,0,defc62e1530d9b0cd27f2acfe042b71dd84d7e8c85f1df261f04912091976088,complete,11,768,34,0.68,0.31999999999999995,249,768,49,0.98,0.020000000000000018,21,768,50,1.0,0.0
-571d8cVauQ__5,-571d8cVauQ,5,15.272982,official_transcript,True,True,True,0.89583333,"prior transcript audit: 1 word timestamps use coarse owning-segment fallback, not recovered precise word times; only 43/44 official tokens received observed Whisper times; unmatched tokens omitted from timed features",50,0,e304c03fac1f477823fe0926c4fb421b9c4e4091f85718b729afe856c24a7d3e,complete,43,768,47,0.94,0.06000000000000005,755,768,50,1.0,0.0,62,768,50,1.0,0.0
-6rXp3zJ3kc__8,-6rXp3zJ3kc,8,12.805013,official_transcript,True,True,True,0.85,,50,0,59b77a0f873b7fa95e7327b93d64bb5a4bdae84039321988ef70bba8e63ee1ae,complete,34,768,44,0.88,0.12,636,768,50,1.0,0.0,52,768,50,1.0,0.0
-9y-fZ3swSY__0,-9y-fZ3swSY,0,6.900000333333333,official_transcript,True,True,True,0.75,only 21/23 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,29a1fd181293cdbe24e50edcad51e3cc0f27a5824d840bcc39d453b272fb6e3c,complete,21,768,41,0.82,0.18000000000000005,337,768,49,0.98,0.020000000000000018,28,768,50,1.0,0.0
-9y-fZ3swSY__4,-9y-fZ3swSY,4,2.821029,official_transcript,True,True,True,1.0,only 9/10 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,fe04a26710e85c58bdaad5a48618c7e0f742d82b0d920eb4a046c8f14a6921dc,complete,9,768,44,0.88,0.12,132,768,47,0.94,0.06000000000000005,12,768,50,1.0,0.0
-9y-fZ3swSY__8,-9y-fZ3swSY,8,4.988997,official_transcript,True,True,True,0.85714286,,50,0,6140d031e614b62a5d8df73346fef2417c28cee3501310aa95aa40d358b4b256,complete,12,768,41,0.82,0.18000000000000005,245,768,50,1.0,0.0,20,768,50,1.0,0.0
-AUZQgSxyPQ__2,-AUZQgSxyPQ,2,22.511003,official_transcript,True,True,True,0.85365854,only 36/41 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,e09034b30bb4f8fb9f9c2568afc20f2a764e327fe6ef4e13f21804eaac51bb7b,complete,36,768,45,0.9,0.09999999999999998,1119,768,50,1.0,0.0,91,768,50,1.0,0.0
-HeZS2-Prhc__2,-HeZS2-Prhc,2,8.261979,official_transcript,True,True,True,0.94117647,,50,0,edb0fa22fdfbd990c8174764af78670bd2ecad799240d35d96a1124a3cd9dc0c,complete,16,768,40,0.8,0.19999999999999996,407,768,50,1.0,0.0,34,768,50,1.0,0.0
-HwX2H8Z4hY__2,-HwX2H8Z4hY,2,3.982031,media_asr,False,True,True,0.57142857,prior transcript audit: official match score 0.5714 below observed Q1 0.6667 without sufficient official-token alignment; official transcript did not meet observed lexical and timestamp mapping criteria; media ASR used,50,0,920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358,complete,5,768,26,0.52,0.48,195,768,50,1.0,0.0,16,768,50,1.0,0.0
-HwX2H8Z4hY__5,-HwX2H8Z4hY,5,5.652995,official_transcript,True,True,True,1.0,,50,0,8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d,complete,9,768,44,0.88,0.12,276,768,49,0.98,0.020000000000000018,23,768,50,1.0,0.0
-HwX2H8Z4hY__6,-HwX2H8Z4hY,6,3.358008,official_transcript,True,True,True,0.85714286,,50,0,696576dcbd0dc42cb678fa40d8a0f0f419a3072bfa7662d653756ab29bba4c46,complete,7,768,38,0.76,0.24,162,768,49,0.98,0.020000000000000018,14,768,50,1.0,0.0
-HwX2H8Z4hY__9,-HwX2H8Z4hY,9,7.733984,official_transcript,True,True,True,0.91304348,only 21/23 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,90c18e627f27a12c14e21ba24c79edf3008762b4ac26874b490ad3f888381702,complete,21,768,46,0.92,0.07999999999999996,381,768,50,1.0,0.0,31,768,50,1.0,0.0
