case,tier,num_ops,num_tensors,K,num_subgraphs,granularities_tried,makespan,singlecore_makespan,speedup,added_copy_bytes,proxy_makespan,solver_time,evaluator_time,success,failure_reason,total_cycles,M_cycles,V_cycles
case_093,small,552,1181,2,2,4,74410,74205,0.9972,20480,74068,0.004932,0.877898,True,,86112,73968,12144
case_093,small,552,1181,3,3,4,25103,74205,2.956,16384,24656,0.005152,0.877298,True,,86112,73968,12144
case_093,small,552,1181,4,32,4,49684,74205,1.4935,561152,45752,0.005326,0.930947,True,,86112,73968,12144
case_093,small,552,1181,5,40,4,60018,74205,1.2364,704512,56400,0.005219,0.908006,True,,86112,73968,12144
case_026,small,636,871,2,2,4,101996,99203,0.9726,163908,81276,0.007289,0.837279,True,,111760,40992,70768
case_026,small,636,871,3,3,4,102690,99203,0.966,126636,96518,0.006512,0.910011,True,,111760,40992,70768
case_026,small,636,871,4,4,4,102570,99203,0.9672,266056,90926,0.006711,0.870723,True,,111760,40992,70768
case_026,small,636,871,5,40,4,101264,99203,0.9796,1814036,86354,0.006676,0.873958,True,,111760,40992,70768
case_036,medium,2400,4802,2,2,4,466068,931510,1.9987,1152,465600,0.019242,2.981048,True,,1052800,931200,121600
case_036,medium,2400,4802,3,12,4,314154,931510,2.9651,110976,311988,0.021285,2.717885,True,,1052800,931200,121600
case_036,medium,2400,4802,4,4,4,233584,931510,3.9879,3456,232800,0.019101,2.429815,True,,1052800,931200,121600
case_036,medium,2400,4802,5,5,4,187182,931510,4.9765,4608,186240,0.01896,2.321835,True,,1052800,931200,121600
case_074,medium,3609,4833,2,8,4,1635387,1682239,1.0286,9519236,1580124,0.050288,4.704697,True,,1777844,1579424,198420
case_074,medium,3609,4833,3,12,4,1655029,1682239,1.0164,10703008,1580524,0.056221,3.915486,True,,1777844,1579424,198420
case_074,medium,3609,4833,4,8,4,1635387,1682239,1.0286,9519236,1580124,0.067594,3.899087,True,,1777844,1579424,198420
case_074,medium,3609,4833,5,10,4,1661879,1682239,1.0123,10854532,1580324,0.061052,3.58962,True,,1777844,1579424,198420
case_025,large,18662,26666,2,2,4,2431840,4863026,1.9997,27648,2351412,0.311229,70.052428,True,,5918520,4702824,1215696
case_025,large,18662,26666,3,6,4,2433400,4863026,1.9984,193536,2351612,0.392985,47.52717,True,,5918520,4702824,1215696
case_025,large,18662,26666,4,4,4,2432800,4863026,1.9989,110592,2351512,0.346726,40.379615,True,,5918520,4702824,1215696
case_025,large,18662,26666,5,10,4,2434536,4863026,1.9975,340992,2351812,0.30647,32.26466,True,,5918520,4702824,1215696
case_014,largest,35705,40287,2,2,4,18176071,17698626,0.9737,71715744,17225848,0.492996,468.696407,True,,18877172,17225748,1651424
case_014,largest,35705,40287,3,3,4,18286021,17698626,0.9679,68973668,17225948,0.521157,211.403904,True,,18877172,17225748,1651424
case_014,largest,35705,40287,4,32,4,18214559,17698626,0.9717,83619136,17228848,0.707426,339.873834,True,,18877172,17225748,1651424
case_014,largest,35705,40287,5,40,4,18174673,17698626,0.9738,85156672,17229648,0.477047,312.111231,True,,18877172,17225748,1651424
