"case","K","algorithm","makespan","singlecore_makespan","speedup","added_copy_bytes","num_subgraphs","topo_mode","candidate_count","evaluator_count","cache_hits","solver_time","evaluator_time","total_wall_time","success","failure_reason"
"case_093","2","v0","74410","74205","0.9972","20480","2","deterministic","4","4","0","0.023815","0.541053","0.632427","True",""
"case_093","2","v1_partition","37827","74205","1.9617","8192","2","deterministic","4","3","1","0.097678","0.542334","0.699071","True",""
"case_093","2","v1_schedule","74410","74205","0.9972","20480","2","deterministic","4","0","4","0.026271","0","0.037904","True",""
"case_093","2","v1","37827","74205","1.9617","8192","2","deterministic","4","1","3","0.098623","0.224366","0.3498","True",""
"case_093","3","v0","25103","74205","2.956","16384","3","deterministic","4","4","0","0.022941","0.544851","0.642365","True",""
"case_093","3","v1_partition","25103","74205","2.956","16384","3","deterministic","4","2","2","0.089505","0.34144","0.470768","True",""
"case_093","3","v1_schedule","25103","74205","2.956","16384","3","deterministic","4","0","4","0.027766","0","0.039179","True",""
"case_093","3","v1","25103","74205","2.956","16384","3","deterministic","4","0","4","0.101173","0","0.11174","True",""
"case_093","4","v0","49684","74205","1.4935","561152","32","deterministic","4","4","0","0.023735","0.555402","0.639308","True",""
"case_093","4","v1_partition","19779","74205","3.7517","24576","4","deterministic","4","3","1","0.095991","0.464432","0.61196","True",""
"case_093","4","v1_schedule","48652","74205","1.5252","561152","32","deterministic","4","1","3","0.029341","0.173034","0.230686","True",""
"case_093","4","v1","19779","74205","3.7517","24576","4","deterministic","4","0","4","0.117338","0","0.129313","True",""
"case_093","5","v0","60018","74205","1.2364","704512","40","deterministic","4","4","0","0.027947","0.623117","0.720716","True",""
"case_093","5","v1_partition","15876","74205","4.674","32768","5","deterministic","4","3","1","0.093417","0.44629","0.592242","True",""
"case_093","5","v1_schedule","60047","74205","1.2358","704512","40","deterministic","4","1","3","0.035109","0.172235","0.2318","True",""
"case_093","5","v1","15876","74205","4.674","32768","5","deterministic","4","0","4","0.1307","0","0.141549","True",""
"case_026","2","v0","101996","99203","0.9726","163908","2","deterministic","4","4","0","0.022407","0.498323","0.585861","True",""
"case_026","2","v1_partition","53792","99203","1.8442","1224248","16","branch","4","4","0","0.094247","0.517525","0.681869","True",""
"case_026","2","v1_schedule","101996","99203","0.9726","163908","2","deterministic","4","0","4","0.023077","0","0.032031","True",""
"case_026","2","v1","53792","99203","1.8442","1224248","16","branch","4","0","4","0.096313","0","0.105918","True",""
"case_026","3","v0","102690","99203","0.966","126636","3","deterministic","4","4","0","0.021326","0.521445","0.604772","True",""
"case_026","3","v1_partition","44380","99203","2.2353","796192","12","branch","4","4","0","0.100745","0.567094","0.7453","True",""
"case_026","3","v1_schedule","102690","99203","0.966","126636","3","deterministic","4","0","4","0.023037","0","0.032244","True",""
"case_026","3","v1","45144","99203","2.1975","796192","12","branch","4","3","1","0.107093","0.393667","0.538317","True",""
"case_026","4","v0","102570","99203","0.9672","266056","4","deterministic","4","4","0","0.022893","0.535027","0.59984","True",""
"case_026","4","v1_partition","41963","99203","2.3641","0","4","branch","4","4","0","0.096973","0.546549","0.669015","True",""
"case_026","4","v1_schedule","102570","99203","0.9672","266056","4","deterministic","4","0","4","0.02864","0","0.038198","True",""
"case_026","4","v1","41963","99203","2.3641","0","4","branch","4","2","2","0.119937","0.26473","0.406962","True",""
"case_026","5","v0","101264","99203","0.9796","1814036","40","deterministic","4","4","0","0.022572","0.568694","0.618768","True",""
"case_026","5","v1_partition","47942","99203","2.0692","584472","10","branch","4","4","0","0.10208","0.580391","0.712243","True",""
"case_026","5","v1_schedule","100523","99203","0.9869","1814036","40","deterministic","4","1","3","0.040052","0.162711","0.217972","True",""
"case_026","5","v1","47942","99203","2.0692","584472","10","branch","4","2","2","0.143702","0.286592","0.448543","True",""
